,Autocorr_MZ,Autocorr_DZ,Autocorr_NT,Crosscorr MZ,Crosscorr DZ,Crosscorr NT
79,,,,,,0.8172075208980456
80,,,,,,0.8805809799874551
81,,,,,,0.9078069845336814
82,,,,,,0.8965770266416699
83,,,,,,0.8909165786995719
84,,,,,,0.8175143439443897
85,,,,,,0.912795713412633
86,,,,,,0.7593093179976891
87,,,,,,0.8978620024358734
88,,,,,,0.8807023604079552
89,,,,,,0.8813814669074129
90,,,,,,0.9005489531464688
91,,,,,,0.9047544255052199
92,,,,,,0.9034417790781577
93,,,,,,0.8985959221807565
94,,,,,,0.9049150002404125
95,,,,,,0.8887192081742818
96,,,,,,0.8782034279277978
97,,,,,,0.9063941468448011
98,,,,,,0.9001680739068747
99,,,,,,0.9069040542753616
100,,,,,,0.8738427734897576
101,,,,,,0.8811423398726964
102,,,,,,0.8709228296677951
103,,,,,,0.8862113860834345
104,,,,,,0.9147053231256691
105,,,,,,0.8843182438045273
106,,,,,,0.9053579543497107
107,,,,,,0.8992719949725356
108,,,,,,0.8913987862077146
109,,,,,,0.8997671118221926
110,,,,,,0.907880002441248
111,,,,,,0.9006529419659843
112,,,,,,0.8938100444274325
113,,,,,,0.8813575386880163
114,,,,,,0.861884695388708
115,,,,,,0.8957881959748814
116,,,,,,0.8957315584786976
117,,,,,,0.8979136268371424
118,,,,,,0.8648705408980994
119,,,,,,0.8909242578324519
120,,,,,,0.8923671482320474
121,,,,,,0.7603596713815021
122,,,,,,0.8970761013186339
123,,,,,,0.8881897550256241
124,,,,,,0.8979136388442962
125,,,,,,0.9104331645809727
126,,,,,,0.8534482198117695
127,,,,,,0.8923797772829697
128,,,,,,0.8821762253501093
129,,,,,,0.9055412575401509
130,,,,,,0.9100955988484638
131,,,,,,0.8804778957711072
132,,,,,,0.891409852149136
133,,,,,,0.8827064246808511
134,,,,,,0.8816984173404419
135,,,,,,0.9006818736458396
136,,,,,,0.903150197939987
137,,,,,,0.8535926822477682
138,,,,,,0.8994934186542005
139,,,,,,0.8556598385744427
140,,,,,,0.8795909030392655
141,,,,,,0.8940164870891776
142,,,,,,0.898555598200953
143,,,,,,0.9028305462269042
144,,,,,,0.761646548128537
145,,,,,,0.8891628624808231
146,,,,,,0.8895389742308188
147,,,,,,0.8881318858023406
148,,,,,,0.8926618651591625
149,,,,,,0.8889912782849272
150,,,,,,0.9126143458127984
151,,,,,,0.9095269552123861
152,,,,,,0.8403442658922331
153,,,,,,0.9085863050971354
154,,,,,,0.892937391857693
155,,,,,,0.8646604685594556
156,,,,,,0.8378643643823591
157,,,,,,0.9087033231366031
158,,,,,,0.9026189220388627
159,,,,,,0.9007400763238376
160,,,,,,0.733294466834761
161,,,,,,0.8237941980668356
162,,,,,,0.8980536210856003
163,,,,,,0.8988308895836643
164,,,,,,0.8778860547464232
165,,,,,,0.8888919539841391
166,,,,,,0.9078776372788806
167,,,,,,0.8320006568962973
168,,,,,,0.8799895061195491
169,,,,,,0.8902555674758017
170,,,,,,0.8907080341316173
171,,,,,,0.8965907968488154
172,,,,,,0.8055759447795929
173,,,,,,0.8990542891315247
174,,,,,,0.7564592080884307
175,,,,,,0.8946562033450051
176,,,,,,0.8766122706898662
177,,,,,,0.8987723856228966
178,,,,,,0.874881741808485
179,,,,,,0.8940908442751749
