ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
G_front_inf-Orbital L,0.6107461320140231,0.7567893031927552,0.7756351598895744,0.696693355648019,0.5795048627676558,0.6699800930187866,0.6815581510884688
G_front_inf-Orbital R,0.5180510406043554,0.6354969124033762,0.6313242029403285,0.702646811676834,0.6386475458366352,0.5174554349062929,0.6072703247279704
G_front_inf-Triangul L,0.7196750905435675,0.8021877277440134,0.7606890841222536,0.7578309849454093,0.7370556104043063,0.7371584299043357,0.7524328212773144
G_front_inf-Triangul R,0.6359192886372653,0.8335975715623886,0.7053831358522519,0.7385609039492672,0.6799661532724899,0.6646769790355291,0.7096840053848653
G_front_middle L,0.6762716343277778,0.6523858558361075,0.7390329883469192,0.7196183178489313,0.706492188430445,0.7795419874533248,0.712223828707251
G_front_middle R,0.5410054016171231,0.5746635895741673,0.6775355805606315,0.6426168490209664,0.5529262941132373,0.6987704375603141,0.6145863587410733
G_front_sup L,0.652338626144593,0.6427918573428062,0.6290967153988165,0.738626199787453,0.6764305876918595,0.8221673682006321,0.6935752257610268
G_front_sup R,0.6060839440463799,0.6810489226419492,0.6671737971171391,0.7249727132568691,0.6439842524622985,0.7062240497420703,0.6715812798777844
G_insular_short L,0.656493471590484,0.8573848966171465,0.8474970987588097,0.8454236950024434,0.7224658030932344,0.7624730667023156,0.7819563386274057
G_insular_short R,0.7773318931940743,0.8964985466366396,0.9021649089148301,0.8768069802346757,0.9261956435181682,0.9013647339349984,0.880060451072231
G_oc-temp_lat-fusifor L,0.6200680609520244,0.900903520926136,0.9038097311435427,0.7737484405631824,0.7841604209071114,0.7341903984602897,0.7861467621587144
G_oc-temp_lat-fusifor R,0.517768505211311,0.7869359116485505,0.8266354516149221,0.6292402655294353,0.6314912872934129,0.5944245709073628,0.6644159987008323
G_oc-temp_med-Lingual L,0.5920443140471454,0.8599413198428489,0.8414022065098233,0.7319196293428221,0.790441805734664,0.7108956838931991,0.7544408265617505
G_oc-temp_med-Lingual R,0.5432119840025081,0.8274101665936705,0.8234521862660789,0.6733322377347412,0.7519949195379765,0.5653913350350082,0.6974654715283307
G_oc-temp_med-Parahip L,0.5082105776693527,0.7450621833644778,0.7074769174167733,0.5055134794880685,0.5769915449537406,0.6198602708763475,0.6105191622947934
G_oc-temp_med-Parahip R,0.5332151380092829,0.7629059259965284,0.796909126632476,0.6580159998192182,0.7608822510714324,0.6842856618887765,0.6993690172362858
G_occipital_middle L,0.7381781908585365,0.9023608699014252,0.8723399650667059,0.8887863854526299,0.8895190720510128,0.8280815816879098,0.85321101083637
G_occipital_middle R,0.6878077909063928,0.8041246023930606,0.844339545831826,0.7780683653329773,0.7176149969510156,0.6231383221768038,0.7425156039320128
