region_2,lobe,region_1,hemi_1,region,Yeo
 Default_pCunPCC_3 ,LL, Default_Temp_4 R ,L,7Networks_LH_Default_pCunPCC_3,DMN
 Default_pCunPCC_3 ,RP, Default_Temp_5 L ,R,7Networks_RH_Default_pCunPCC_3,DMN
 Default_pCunPCC_4 ,LP, Default_Temp_5 R ,L,7Networks_LH_Default_pCunPCC_4,DMN
 DorsAttn_FEF_1 ,LC, DorsAttn_FEF_1 L ,L,7Networks_LH_DorsAttn_FEF_1,DA
 DorsAttn_FEF_1 ,RC, DorsAttn_FEF_1 R ,R,7Networks_RH_DorsAttn_FEF_1,DA
 DorsAttn_FEF_2 ,LF, DorsAttn_FEF_2 L ,L,7Networks_LH_DorsAttn_FEF_2,DA
 DorsAttn_FEF_2 ,RF, DorsAttn_FEF_2 R ,R,7Networks_RH_DorsAttn_FEF_2,DA
 DorsAttn_Post_1 ,LT, DorsAttn_Post_1 L ,L,7Networks_LH_DorsAttn_Post_1,DA
 DorsAttn_Post_1 ,RT, DorsAttn_Post_1 R ,R,7Networks_RH_DorsAttn_Post_1,DA
 DorsAttn_Post_10 ,LP, DorsAttn_Post_10 L ,L,7Networks_LH_DorsAttn_Post_10,DA
 DorsAttn_Post_10 ,RP, DorsAttn_Post_10 R ,R,7Networks_RH_DorsAttn_Post_10,DA
 DorsAttn_Post_2 ,LT, DorsAttn_Post_2 L ,L,7Networks_LH_DorsAttn_Post_2,DA
 DorsAttn_Post_2 ,RP, DorsAttn_Post_2 R ,R,7Networks_RH_DorsAttn_Post_2,DA
 DorsAttn_Post_3 ,LP, DorsAttn_Post_3 L ,L,7Networks_LH_DorsAttn_Post_3,DA
 DorsAttn_Post_3 ,RP, DorsAttn_Post_3 R ,R,7Networks_RH_DorsAttn_Post_3,DA
 DorsAttn_Post_4 ,LP, DorsAttn_Post_4 L ,L,7Networks_LH_DorsAttn_Post_4,DA
 DorsAttn_Post_4 ,RP, DorsAttn_Post_4 R ,R,7Networks_RH_DorsAttn_Post_4,DA
 DorsAttn_Post_5 ,LP, DorsAttn_Post_5 L ,L,7Networks_LH_DorsAttn_Post_5,DA
 DorsAttn_Post_5 ,RP, DorsAttn_Post_5 R ,R,7Networks_RH_DorsAttn_Post_5,DA
 DorsAttn_Post_6 ,LP, DorsAttn_Post_6 L ,L,7Networks_LH_DorsAttn_Post_6,DA
 DorsAttn_Post_6 ,RP, DorsAttn_Post_6 R ,R,7Networks_RH_DorsAttn_Post_6,DA
 DorsAttn_Post_7 ,LP, DorsAttn_Post_7 L ,L,7Networks_LH_DorsAttn_Post_7,DA
 DorsAttn_Post_7 ,RP, DorsAttn_Post_7 R ,R,7Networks_RH_DorsAttn_Post_7,DA
 DorsAttn_Post_8 ,LP, DorsAttn_Post_8 L ,L,7Networks_LH_DorsAttn_Post_8,DA
 DorsAttn_Post_8 ,RP, DorsAttn_Post_8 R ,R,7Networks_RH_DorsAttn_Post_8,DA
 DorsAttn_Post_9 ,LP, DorsAttn_Post_9 L ,L,7Networks_LH_DorsAttn_Post_9,DA
 DorsAttn_Post_9 ,RP, DorsAttn_Post_9 R ,R,7Networks_RH_DorsAttn_Post_9,DA
 DorsAttn_PrCv_1 ,LC, DorsAttn_PrCv_1 L ,L,7Networks_LH_DorsAttn_PrCv_1,DA
 DorsAttn_PrCv_1 ,RF, DorsAttn_PrCv_1 R ,R,7Networks_RH_DorsAttn_PrCv_1,DA
imbic_OFC_1 ,LPF, Limbic_OFC_1 L ,L,7Networks_LH_Limbic_OFC_1,Limbic
imbic_OFC_1 ,RPF, Limbic_OFC_1 R ,R,7Networks_RH_Limbic_OFC_1,Limbic
imbic_OFC_2 ,LPF, Limbic_OFC_2 L ,L,7Networks_LH_Limbic_OFC_2,Limbic
imbic_OFC_2 ,RPF, Limbic_OFC_2 R ,R,7Networks_RH_Limbic_OFC_2,Limbic
imbic_OFC_3 ,RF, Limbic_OFC_3 R ,R,7Networks_RH_Limbic_OFC_3,Limbic
imbic_TempPole_1 ,LT, Limbic_TempPole_1 L ,L,7Networks_LH_Limbic_TempPole_1,Limbic
imbic_TempPole_1 ,RT, Limbic_TempPole_1 R ,R,7Networks_RH_Limbic_TempPole_1,Limbic
imbic_TempPole_2 ,LT, Limbic_TempPole_2 L ,L,7Networks_LH_Limbic_TempPole_2,Limbic
imbic_TempPole_2 ,RT, Limbic_TempPole_2 R ,R,7Networks_RH_Limbic_TempPole_2,Limbic
imbic_TempPole_3 ,LT, Limbic_TempPole_3 L ,L,7Networks_LH_Limbic_TempPole_3,Limbic
imbic_TempPole_3 ,RT, Limbic_TempPole_3 R ,R,7Networks_RH_Limbic_TempPole_3,Limbic
imbic_TempPole_4 ,LT, Limbic_TempPole_4 L ,L,7Networks_LH_Limbic_TempPole_4,Limbic
 SalVentAttn_FrOperIns_1 ,LT, SalVentAttn_FrOperIns_1 L ,L,7Networks_LH_SalVentAttn_FrOperIns_1,VA
 SalVentAttn_FrOperIns_1 ,RT, SalVentAttn_FrOperIns_1 R ,R,7Networks_RH_SalVentAttn_FrOperIns_1,VA
 SalVentAttn_FrOperIns_2 ,LF, SalVentAttn_FrOperIns_2 L ,L,7Networks_LH_SalVentAttn_FrOperIns_2,VA
 SalVentAttn_FrOperIns_2 ,RT, SalVentAttn_FrOperIns_2 R ,R,7Networks_RH_SalVentAttn_FrOperIns_2,VA
 SalVentAttn_FrOperIns_3 ,LT, SalVentAttn_FrOperIns_3 L ,L,7Networks_LH_SalVentAttn_FrOperIns_3,VA
 SalVentAttn_FrOperIns_3 ,RF, SalVentAttn_FrOperIns_3 R ,R,7Networks_RH_SalVentAttn_FrOperIns_3,VA
 SalVentAttn_FrOperIns_4 ,LF, SalVentAttn_FrOperIns_4 L ,L,7Networks_LH_SalVentAttn_FrOperIns_4,VA
 SalVentAttn_FrOperIns_4 ,RT, SalVentAttn_FrOperIns_4 R ,R,7Networks_RH_SalVentAttn_FrOperIns_4,VA
 SalVentAttn_Med_1 ,LF, SalVentAttn_Med_1 L ,L,7Networks_LH_SalVentAttn_Med_1,VA
 SalVentAttn_Med_1 ,RF, SalVentAttn_Med_1 R ,R,7Networks_RH_SalVentAttn_Med_1,VA
 SalVentAttn_Med_2 ,LC, SalVentAttn_Med_2 L ,L,7Networks_LH_SalVentAttn_Med_2,VA
 SalVentAttn_Med_2 ,RC, SalVentAttn_Med_2 R ,R,7Networks_RH_SalVentAttn_Med_2,VA
 SalVentAttn_Med_3 ,LF, SalVentAttn_Med_3 L ,L,7Networks_LH_SalVentAttn_Med_3,VA
 SalVentAttn_Med_3 ,RF, SalVentAttn_Med_3 R ,R,7Networks_RH_SalVentAttn_Med_3,VA
 SalVentAttn_PFCl_1 ,LF, SalVentAttn_ParOper_1 L ,L,7Networks_LH_SalVentAttn_PFCl_1,VA
 SalVentAttn_ParOper_1 ,LP, SalVentAttn_ParOper_2 L ,L,7Networks_LH_SalVentAttn_ParOper_1,VA
 SalVentAttn_ParOper_2 ,LP, SalVentAttn_ParOper_3 L ,L,7Networks_LH_SalVentAttn_ParOper_2,VA
 SalVentAttn_ParOper_3 ,LP, SalVentAttn_PFCl_1 L ,L,7Networks_LH_SalVentAttn_ParOper_3,VA
 SalVentAttn_PrC_1 ,RC, SalVentAttn_PrC_1 R ,R,7Networks_RH_SalVentAttn_PrC_1,VA
 SalVentAttn_TempOccPar_1 ,RT, SalVentAttn_TempOccPar_1 R ,R,7Networks_RH_SalVentAttn_TempOccPar_1,VA
 SalVentAttn_TempOccPar_2 ,RT, SalVentAttn_TempOccPar_2 R ,R,7Networks_RH_SalVentAttn_TempOccPar_2,VA
 SalVentAttn_TempOccPar_3 ,RP, SalVentAttn_TempOccPar_3 R ,R,7Networks_RH_SalVentAttn_TempOccPar_3,VA
 SomMot_1 ,LT, SomMot_1 L ,L,7Networks_LH_SomMot_1,SM
 SomMot_1 ,RT, SomMot_1 R ,R,7Networks_RH_SomMot_1,SM
 SomMot_10 ,LC, SomMot_10 L ,L,7Networks_LH_SomMot_10,SM
 SomMot_10 ,RC, SomMot_10 R ,R,7Networks_RH_SomMot_10,SM
 SomMot_11 ,LP, SomMot_11 L ,L,7Networks_LH_SomMot_11,SM
 SomMot_11 ,RF, SomMot_11 R ,R,7Networks_RH_SomMot_11,SM
 SomMot_12 ,LC, SomMot_12 L ,L,7Networks_LH_SomMot_12,SM
 SomMot_12 ,RC, SomMot_12 R ,R,7Networks_RH_SomMot_12,SM
 SomMot_13 ,LC, SomMot_13 L ,L,7Networks_LH_SomMot_13,SM
 SomMot_13 ,RP, SomMot_13 R ,R,7Networks_RH_SomMot_13,SM
 SomMot_14 ,LC, SomMot_14 L ,L,7Networks_LH_SomMot_14,SM
 SomMot_14 ,RC, SomMot_14 R ,R,7Networks_RH_SomMot_14,SM
 SomMot_15 ,LC, SomMot_15 L ,L,7Networks_LH_SomMot_15,SM
 SomMot_15 ,RC, SomMot_15 R ,R,7Networks_RH_SomMot_15,SM
 SomMot_16 ,LC, SomMot_16 L ,L,7Networks_LH_SomMot_16,SM
 SomMot_16 ,RC, SomMot_16 R ,R,7Networks_RH_SomMot_16,SM
 SomMot_17 ,RC, SomMot_17 R ,R,7Networks_RH_SomMot_17,SM
 SomMot_18 ,RC, SomMot_18 R ,R,7Networks_RH_SomMot_18,SM
 SomMot_19 ,RC, SomMot_19 R ,R,7Networks_RH_SomMot_19,SM
