Subjects,Twin_DZ_1A,Twin_DZ_1B,Twin_DZ_2A,Twin_DZ_2B,Twin_DZ_3A,Twin_DZ_3B,Twin_DZ_4A,Twin_DZ_4B,Twin_DZ_5A,Twin_DZ_5B,Twin_DZ_6A,Twin_DZ_6B,Twin_DZ_7A,Twin_DZ_7B,Twin_DZ_8A,Twin_DZ_8B,Twin_DZ_9A,Twin_DZ_9B,Twin_DZ_10A,Twin_DZ_10B,Twin_DZ_11A,Twin_DZ_11B,Twin_DZ_12A,Twin_DZ_12B,Twin_DZ_13A,Twin_DZ_13B
Twin_DZ_6A,0.9586360485798899,0.9672823619463827,0.9645446204449204,0.9370269265672142,0.9641444883577065,0.9600602149189406,0.9587227587205005,0.9584080847482259,0.964365372820984,0.9430204877378059,0.9954949933459971,0.9472134335990869,0.950312774606904,0.9559622552669687,0.9528851499611424,0.9596452434008336,0.9423508773490208,0.958021379824179,0.9589817730323253,0.9546688152068308,0.9567862361173531,0.9566892846104984,0.8989724118355276,0.9615508113715325,0.942083573046758,0.9410256921823144
Twin_DZ_6B,0.9441803433198719,0.9561553754084722,0.9465707791540515,0.9384865921983399,0.9585761086765173,0.9397993977506682,0.9535925469723894,0.9580440832457372,0.9437800311545121,0.9274809192187867,0.9512794799727153,0.9823308675271902,0.9571770341374293,0.9573037723483668,0.9383153550552916,0.9480794201518405,0.9269670654179651,0.9326164434641534,0.9405577381879132,0.9055214396896687,0.9398176651557071,0.9387850103033748,0.9167989017265473,0.959279770726852,0.9495308103645737,0.9360257344857585
Twin_DZ_7A,0.9481358104544595,0.9569683794619691,0.9510417955456945,0.9445783706904289,0.9555336335874368,0.9385457424884868,0.9533277278939126,0.9547013092180162,0.9437754528197692,0.9219013501398549,0.9533708635873296,0.9568622976609458,0.9940217676522276,0.9666285299660263,0.9458829581109143,0.9545727467216759,0.930514265299312,0.9370898501661808,0.9402793003454324,0.9082390864139644,0.9470256620567408,0.9513964444268852,0.9038114873266957,0.9553019508294105,0.9396916487581011,0.9281942273920554
Twin_DZ_7B,0.9463504906427509,0.9507801751514773,0.9454738438100521,0.943997085342235,0.9500190757188696,0.94091077232816,0.9457132102601652,0.9531945388663398,0.9437536387416862,0.920724877862412,0.9525485151826854,0.9519612284707144,0.9647203492402086,0.9946624471489777,0.945854259683605,0.9587891858029153,0.9375943782574615,0.9471006361310277,0.9446247012552945,0.9199986870295871,0.9466256179903558,0.9398656719831211,0.9060770950647363,0.9622936765680747,0.9366110452111572,0.923618319983903
Twin_DZ_8A,0.961291101253136,0.9565699400054932,0.9551084263479827,0.9549764460917107,0.9561921852031063,0.9632292745161777,0.9616100626298623,0.9486215016892611,0.9539031064442878,0.9284482013569584,0.95116186950797,0.9253252315733824,0.9348680406731429,0.9464218718415748,0.9929550762891589,0.9667178768372231,0.9625768989871921,0.9612380994902185,0.9617254545808694,0.9309769793475675,0.9603902711251284,0.9591107769939451,0.8979389748804449,0.9548935918699942,0.9258740239875314,0.9268900965575375
Twin_DZ_8B,0.9608269202680109,0.9660572341237648,0.9616510490743999,0.9540004214710934,0.9647658311928273,0.9620961402376077,0.9607841959838063,0.9556812038994289,0.9625195026753925,0.9382561244189231,0.9608547703331967,0.9420786795306118,0.9502202221965307,0.9601399872267327,0.964890549745787,0.9951961741723296,0.9558845230653463,0.9577325966436712,0.9616762137843757,0.9442439303448427,0.960657694106045,0.9549140055231672,0.8944255278231374,0.9611171070689115,0.9429130930480466,0.9341816470954349
Twin_DZ_9A,0.960781059505872,0.9538706010405079,0.9455615375296742,0.9479735996384124,0.9565787617838261,0.962568927817713,0.9542328825607337,0.9419463611291761,0.9455328208052705,0.9277766873890354,0.9466513561070649,0.9156211194661557,0.9230852255716513,0.9417198156477364,0.9682400113324688,0.9580101216182743,0.995997112008252,0.9573985719653454,0.9547447495956506,0.9266987064439953,0.9567906587605681,0.9586568434498111,0.9167230555210255,0.947938052480565,0.9312831288053377,0.9342343369739117
Twin_DZ_9B,0.9608083794224349,0.9614889772601585,0.9612994989336314,0.9446145007334842,0.9526011821697782,0.9588731145131717,0.9482126416541723,0.9431538572280918,0.9595535538067271,0.9275774661589988,0.9593109398903163,0.9250398062171857,0.9316296902849663,0.9501521535215165,0.9622942945499215,0.958943619412798,0.956194047748543,0.995492591239405,0.9538660033894725,0.9475089963633216,0.9568454329709155,0.9480608850225802,0.895855880252416,0.9505455569611779,0.9298938829859187,0.9334352353313744
Twin_DZ_10A,0.9625463476635736,0.9650215812103744,0.9628028903058408,0.9488069751200123,0.9624649077491957,0.9655554155417423,0.9607768680408898,0.9455324461871922,0.9621614397924899,0.9371804436625456,0.9645801608573161,0.9283756066286389,0.9364288213226107,0.9492340484506202,0.9634906123524583,0.9640259917198952,0.957631623714716,0.9576985294304923,0.9927509482110499,0.9584209800586823,0.9651656508915756,0.9612259085933392,0.8914229571897319,0.9551592258786347,0.9304280530588056,0.9317780534431543
Twin_DZ_10B,0.9338060829572247,0.9439108090879493,0.944731373445634,0.9084278867920375,0.9270927096774975,0.9438607474215219,0.9208014071657926,0.9137153444997029,0.9406567863850266,0.9148928977568057,0.9552636876545975,0.8963543610235394,0.9050905232890711,0.9218815015045543,0.9289198749658544,0.9419103830470558,0.925955749720887,0.9479845321731388,0.9520990014722053,0.9958436205737207,0.9417085839728947,0.9293446542358678,0.8538223466528456,0.9246611592641041,0.9127004449859859,0.9083909844906526
