ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
lateralorbitofrontal R,0.6475379500444376,0.8202799854152599,0.7874914106671236,0.781812664128894,0.5296535441377819,0.49250110362330096,0.6765461096694664
lingual L,0.5830436966638677,0.8734216921379436,0.8961580731589678,0.7652627687172453,0.6700861031250158,0.5786870014185576,0.7277765558702662
lingual R,0.5874092855513807,0.881248518241941,0.8928313277573687,0.7890101102476915,0.7316062097465033,0.635931592686807,0.7530061740386153
medialorbitofrontal L,0.6515511764818769,0.8217234649579501,0.7974751360401342,0.8114624920800028,0.5837385002964603,0.5948890554436503,0.7101399708833457
medialorbitofrontal R,0.6598443461568153,0.8105561462414046,0.7868684795698011,0.7683875886399258,0.5132335490092688,0.5295240380323544,0.6780690246082616
middletemporal L,0.6939135358170392,0.8960192178882763,0.8798307977898782,0.8972305113943309,0.7657606039415582,0.6385195538031652,0.7952123701057081
middletemporal R,0.6760133623206137,0.8930416411656839,0.886606468685563,0.8199398321926942,0.839293301678914,0.703913752578379,0.8031347264369747
paracentral L,0.7384379879769805,0.8212635864976845,0.875100146373622,0.857293277728457,0.7190855902240967,0.5600270010358448,0.7618679316394475
paracentral R,0.7307187237713482,0.8373364814571663,0.8910917842204402,0.85791901329391,0.727518064682644,0.550053053588913,0.7657728535024035
parahippocampal L,0.5433836220478794,0.8773169717953478,0.850257671572917,0.6364566361833472,0.4705047928212173,0.4914262340479442,0.6448909880781087
parahippocampal R,0.4851894714590173,0.8157502769739724,0.8030607864506336,0.5874974276542985,0.5459560013441107,0.48724136634681253,0.6207825550381408
parsopercularis L,0.7192458737664229,0.839609356135897,0.8020432916051927,0.800451860918622,0.6896692329701086,0.639597852821209,0.7484362447029088
parsopercularis R,0.7217047681818246,0.8901390443889573,0.8658306184507799,0.8624293775843691,0.7719366682520654,0.527131480413451,0.773195326211908
parsorbitalis L,0.6500164559882152,0.7528016658197307,0.71690171865471,0.7468961410219027,0.6096027313681665,0.5886260525208189,0.6774741275622572
parsorbitalis R,0.6329013206348978,0.7769899927861776,0.6895381179085899,0.7297238699093519,0.6049851839149296,0.46594099875432243,0.6500132473180449
parstriangularis L,0.7138948748870045,0.8022828413207357,0.7510348593430936,0.7744503641289954,0.6406708021639466,0.5776950261377245,0.7100047946635833
parstriangularis R,0.6572570048623889,0.8105913945459646,0.7204814906466102,0.7372425467187572,0.639345724639899,0.4391892374918149,0.6673512331509057
pericalcarine L,0.660204484148505,0.8826407690686898,0.9008122713517294,0.8435246384432409,0.7795805413875863,0.6136264077556934,0.7800648520259075
pericalcarine R,0.6685838212502103,0.8753227389900748,0.8863488025442001,0.8665217951136844,0.813193791660489,0.5973162539500843,0.7845478672514571
postcentral L,0.7485938026526164,0.8707661769560728,0.9073074422506568,0.8697748189227261,0.8379094141104915,0.7666242927109298,0.8334959912672488
postcentral R,0.7146167824963572,0.884022001177122,0.9089006452822128,0.8602935889360859,0.8473723558768527,0.6322624236276182,0.8079112995660415
posteriorcingulate L,0.7216446951835478,0.8808011532740787,0.8532710493908869,0.8706429094573536,0.6096968317571513,0.6872640999465712,0.7705534565015982
posteriorcingulate R,0.7049712139652653,0.8845271101291343,0.8566546095180125,0.851728097743351,0.6059258913784988,0.6517691068334603,0.7592626715946204
precentral L,0.7564901012219964,0.8449752555057353,0.8943856289912493,0.8594269852772599,0.8094633802670801,0.7531312155530714,0.819645427802732
precentral R,0.7339322995291089,0.8727545999267303,0.8975412498869444,0.86120683489581,0.8016296698011462,0.6097870111001463,0.796141944189981
precuneus L,0.6997644619261332,0.9071129800903133,0.9045801124422257,0.9069130888958967,0.8369365337020799,0.6492057224137747,0.8174188165784039
precuneus R,0.7232526711051077,0.9038144790682505,0.9006431169274023,0.9040073949239146,0.886123607166206,0.7028699026490212,0.8367851953066503
rostralanteriorcingulate L,0.6279894447937792,0.8166535274271604,0.7937642935285919,0.808633634933166,0.5212168550612855,0.5726394944065868,0.6901495416917616
rostralanteriorcingulate R,0.6205100225918291,0.795319098475353,0.7648828297993435,0.7639627132945305,0.48897847699465985,0.573217047653348,0.667811698134844
rostralmiddlefrontal L,0.6946615627736551,0.7871554978110479,0.7644165325585067,0.7864967558769794,0.6708761406063315,0.6691778312048569,0.7287973868052294
rostralmiddlefrontal R,0.679351037663031,0.7984340999827187,0.790174390740971,0.7654839937532754,0.6382244163575048,0.5906241292357,0.7103820112888668
superiorfrontal L,0.7378108298159138,0.818485248568777,0.8499722800447742,0.8533452692352849,0.7838774901735313,0.756158275108359,0.7999415654911067
