,values,TypeCorr,TwinType,FreqBand
488,0.9885358186237724,Autocorr,NT,BETA
489,0.9400947464664128,Crosscorr,MZ,BETA
490,0.7670573689772571,Crosscorr,DZ,BETA
491,0.8479060062057833,Crosscorr,NT,BETA
492,0.9749937050623558,Autocorr,MZ,GAMMA
493,0.957316335614878,Autocorr,DZ,GAMMA
494,0.9786153376595994,Autocorr,NT,GAMMA
495,0.8871840938204578,Crosscorr,MZ,GAMMA
496,0.8418787903857685,Crosscorr,DZ,GAMMA
497,0.7866068868476797,Crosscorr,NT,GAMMA
498,0.9866692470465348,Autocorr,MZ,HIGH GAMMA
499,0.9779216534280208,Autocorr,DZ,HIGH GAMMA
500,0.984620870951724,Autocorr,NT,HIGH GAMMA
501,0.91514671737157,Crosscorr,MZ,HIGH GAMMA
502,0.9329879484881574,Crosscorr,DZ,HIGH GAMMA
503,0.8498930561058623,Crosscorr,NT,HIGH GAMMA
504,0.995852942974245,Autocorr,MZ,BROADBAND
505,0.996335460474188,Autocorr,DZ,BROADBAND
506,0.996224665139523,Autocorr,NT,BROADBAND
507,0.992412883645857,Crosscorr,MZ,BROADBAND
508,0.9885501383842632,Crosscorr,DZ,BROADBAND
509,0.9766735942769444,Crosscorr,NT,BROADBAND
510,0.9849667658700278,Autocorr,MZ,DELTA
511,0.9827943016764747,Autocorr,DZ,DELTA
512,0.9902159526091489,Autocorr,NT,DELTA
513,0.9777332933145056,Crosscorr,MZ,DELTA
514,0.9577228128724488,Crosscorr,DZ,DELTA
515,0.8939867972881753,Crosscorr,NT,DELTA
