,Acc Autocorr_BROADBAND,Acc Crosscorr MZ_BROADBAND,Acc Crosscorr DZ_BROADBAND,Acc Autocorr_DELTA,Acc Crosscorr MZ_DELTA,Acc Crosscorr DZ_DELTA,Acc Autocorr_THETA,Acc Crosscorr MZ_THETA,Acc Crosscorr DZ_THETA,Acc Autocorr_ALPHA,Acc Crosscorr MZ_ALPHA,Acc Crosscorr DZ_ALPHA,Acc Autocorr_BETA,Acc Crosscorr MZ_BETA,Acc Crosscorr DZ_BETA,Acc Autocorr_GAMMA,Acc Crosscorr MZ_GAMMA,Acc Crosscorr DZ_GAMMA,Acc Autocorr_HIGH GAMMA,Acc Crosscorr MZ_HIGH GAMMA,Acc Crosscorr DZ_HIGH GAMMA
5086,0.8625,0.6176470588235294,0.0833333333333333,0.725,0.2352941176470588,0.0833333333333333,0.7,0.3823529411764705,0.125,0.8375,0.4411764705882353,0.0416666666666666,0.775,0.5294117647058824,0.0416666666666666,0.8,0.4411764705882353,0.0416666666666666,0.8875,0.2058823529411764,0.125
5087,0.8375,0.5294117647058824,0.0833333333333333,0.6625,0.1764705882352941,0.0833333333333333,0.725,0.4411764705882353,0.1666666666666666,0.8375,0.4117647058823529,0.0416666666666666,0.8,0.5,0.0416666666666666,0.8,0.3823529411764705,0.0833333333333333,0.8625,0.1764705882352941,0.0833333333333333
5088,0.875,0.5882352941176471,0.0833333333333333,0.7,0.2941176470588235,0.0833333333333333,0.725,0.4117647058823529,0.0833333333333333,0.8625,0.4411764705882353,0.0416666666666666,0.8,0.5882352941176471,0.0416666666666666,0.8125,0.4411764705882353,0.0833333333333333,0.875,0.1470588235294117,0.125
5089,0.8625,0.5588235294117647,0.0833333333333333,0.6875,0.2352941176470588,0.0833333333333333,0.7125,0.4411764705882353,0.0833333333333333,0.825,0.4411764705882353,0.0416666666666666,0.8,0.5882352941176471,0.0416666666666666,0.825,0.4411764705882353,0.0833333333333333,0.8625,0.1176470588235294,0.0833333333333333
5090,0.875,0.6176470588235294,0.0833333333333333,0.7,0.2352941176470588,0.0833333333333333,0.675,0.4705882352941176,0.125,0.85,0.4705882352941176,0.0416666666666666,0.8,0.5294117647058824,0.0416666666666666,0.8,0.4411764705882353,0.0833333333333333,0.875,0.1470588235294117,0.125
5091,0.85,0.5882352941176471,0.0833333333333333,0.7,0.2647058823529412,0.0833333333333333,0.6875,0.4411764705882353,0.125,0.825,0.4117647058823529,0.0416666666666666,0.775,0.4705882352941176,0.0416666666666666,0.825,0.4117647058823529,0.0833333333333333,0.875,0.1470588235294117,0.0833333333333333
5092,0.8375,0.5882352941176471,0.0833333333333333,0.6875,0.2352941176470588,0.0833333333333333,0.7,0.4117647058823529,0.0833333333333333,0.8125,0.4411764705882353,0.0416666666666666,0.825,0.5882352941176471,0.0416666666666666,0.825,0.4117647058823529,0.0416666666666666,0.8875,0.1470588235294117,0.125
5093,0.85,0.5294117647058824,0.0833333333333333,0.6625,0.2352941176470588,0.0833333333333333,0.7,0.4705882352941176,0.125,0.8375,0.3823529411764705,0.0416666666666666,0.7875,0.5588235294117647,0.0416666666666666,0.7875,0.4411764705882353,0.0833333333333333,0.9,0.1470588235294117,0.125
5094,0.8375,0.5294117647058824,0.0833333333333333,0.6875,0.2647058823529412,0.0833333333333333,0.725,0.4117647058823529,0.1666666666666666,0.8375,0.4705882352941176,0.0416666666666666,0.7875,0.5588235294117647,0.0416666666666666,0.825,0.4117647058823529,0.0833333333333333,0.8875,0.2058823529411764,0.125
5095,0.8375,0.5294117647058824,0.0833333333333333,0.675,0.2647058823529412,0.0833333333333333,0.725,0.5,0.1666666666666666,0.825,0.4705882352941176,0.0,0.7875,0.5588235294117647,0.0416666666666666,0.825,0.4411764705882353,0.0833333333333333,0.8625,0.088235294117647,0.125
5096,0.8375,0.5294117647058824,0.0833333333333333,0.7125,0.2647058823529412,0.0416666666666666,0.7,0.4705882352941176,0.125,0.825,0.5,0.0416666666666666,0.8,0.5882352941176471,0.0416666666666666,0.8,0.3235294117647059,0.0416666666666666,0.875,0.1176470588235294,0.0833333333333333
5097,0.8625,0.5882352941176471,0.0833333333333333,0.675,0.2058823529411764,0.0833333333333333,0.6875,0.4411764705882353,0.125,0.8625,0.4705882352941176,0.0416666666666666,0.775,0.5294117647058824,0.0416666666666666,0.8,0.3529411764705882,0.0833333333333333,0.875,0.1176470588235294,0.0833333333333333
5098,0.85,0.5882352941176471,0.0833333333333333,0.675,0.2647058823529412,0.0833333333333333,0.7125,0.4411764705882353,0.125,0.8375,0.4411764705882353,0.0416666666666666,0.7875,0.5588235294117647,0.0416666666666666,0.8125,0.4705882352941176,0.0833333333333333,0.875,0.1764705882352941,0.125
5099,0.8875,0.6176470588235294,0.0833333333333333,0.6875,0.2058823529411764,0.0833333333333333,0.7125,0.4117647058823529,0.125,0.85,0.4117647058823529,0.0416666666666666,0.8,0.5294117647058824,0.0416666666666666,0.8,0.4117647058823529,0.0833333333333333,0.875,0.1764705882352941,0.125
5100,0.85,0.5882352941176471,0.0833333333333333,0.6875,0.2352941176470588,0.0833333333333333,0.725,0.3823529411764705,0.125,0.8375,0.4117647058823529,0.0416666666666666,0.8125,0.5294117647058824,0.0416666666666666,0.8125,0.3823529411764705,0.0416666666666666,0.9,0.1470588235294117,0.125
5101,0.85,0.5588235294117647,0.0833333333333333,0.6875,0.2352941176470588,0.0833333333333333,0.7,0.4411764705882353,0.125,0.8125,0.4117647058823529,0.0416666666666666,0.7875,0.4705882352941176,0.0416666666666666,0.8125,0.4411764705882353,0.0833333333333333,0.875,0.1470588235294117,0.125
5102,0.875,0.6176470588235294,0.0833333333333333,0.6875,0.2352941176470588,0.0833333333333333,0.6875,0.3823529411764705,0.125,0.8125,0.4117647058823529,0.0416666666666666,0.8125,0.5294117647058824,0.0416666666666666,0.8125,0.4117647058823529,0.0833333333333333,0.875,0.1470588235294117,0.0833333333333333
5103,0.85,0.5,0.0833333333333333,0.7,0.2352941176470588,0.0833333333333333,0.7125,0.4411764705882353,0.125,0.825,0.4705882352941176,0.0416666666666666,0.8125,0.5588235294117647,0.0416666666666666,0.8125,0.4117647058823529,0.0416666666666666,0.9,0.1470588235294117,0.125
5104,0.85,0.5588235294117647,0.0833333333333333,0.675,0.2941176470588235,0.0833333333333333,0.7375,0.4411764705882353,0.1666666666666666,0.825,0.5,0.0416666666666666,0.825,0.5882352941176471,0.0416666666666666,0.8375,0.4705882352941176,0.0833333333333333,0.8875,0.1176470588235294,0.0833333333333333
5105,0.85,0.5588235294117647,0.0833333333333333,0.7,0.2647058823529412,0.0833333333333333,0.7,0.3823529411764705,0.125,0.825,0.4411764705882353,0.0416666666666666,0.8,0.5294117647058824,0.0,0.8125,0.4411764705882353,0.0833333333333333,0.8625,0.1470588235294117,0.125
5106,0.8375,0.5,0.0416666666666666,0.725,0.2352941176470588,0.0833333333333333,0.725,0.4411764705882353,0.125,0.85,0.4411764705882353,0.0416666666666666,0.8125,0.5,0.0416666666666666,0.825,0.4117647058823529,0.0833333333333333,0.875,0.1764705882352941,0.125
5107,0.8625,0.5588235294117647,0.0833333333333333,0.65,0.2352941176470588,0.0833333333333333,0.6875,0.4117647058823529,0.1666666666666666,0.8875,0.4705882352941176,0.0416666666666666,0.7875,0.4705882352941176,0.0833333333333333,0.8125,0.4117647058823529,0.0416666666666666,0.875,0.1764705882352941,0.125
5108,0.875,0.5882352941176471,0.0833333333333333,0.7,0.2352941176470588,0.0833333333333333,0.7375,0.4117647058823529,0.125,0.85,0.3823529411764705,0.0416666666666666,0.775,0.5,0.0416666666666666,0.825,0.4411764705882353,0.0833333333333333,0.8875,0.1470588235294117,0.125
5109,0.85,0.5294117647058824,0.0833333333333333,0.6875,0.2647058823529412,0.0833333333333333,0.725,0.4411764705882353,0.0833333333333333,0.8125,0.3823529411764705,0.0416666666666666,0.7875,0.4705882352941176,0.0416666666666666,0.8,0.4411764705882353,0.0833333333333333,0.875,0.1470588235294117,0.0833333333333333
5110,0.85,0.5294117647058824,0.0833333333333333,0.6875,0.2352941176470588,0.0833333333333333,0.7125,0.4411764705882353,0.125,0.825,0.3823529411764705,0.0416666666666666,0.8,0.5588235294117647,0.0,0.8,0.4117647058823529,0.0833333333333333,0.875,0.1764705882352941,0.125
5111,0.8375,0.5588235294117647,0.0833333333333333,0.675,0.2647058823529412,0.0833333333333333,0.6875,0.3823529411764705,0.125,0.825,0.4705882352941176,0.0416666666666666,0.8,0.5294117647058824,0.0833333333333333,0.8125,0.4705882352941176,0.0833333333333333,0.8625,0.1176470588235294,0.125
5112,0.8625,0.5588235294117647,0.0833333333333333,0.7,0.2647058823529412,0.0833333333333333,0.7125,0.4411764705882353,0.1666666666666666,0.85,0.4117647058823529,0.0416666666666666,0.775,0.4705882352941176,0.0833333333333333,0.825,0.4411764705882353,0.0833333333333333,0.9,0.1764705882352941,0.0833333333333333
5113,0.8625,0.5588235294117647,0.0833333333333333,0.675,0.2352941176470588,0.0416666666666666,0.75,0.4705882352941176,0.125,0.85,0.4705882352941176,0.0416666666666666,0.7875,0.4705882352941176,0.0416666666666666,0.7875,0.3823529411764705,0.0833333333333333,0.8625,0.1176470588235294,0.0833333333333333
5114,0.8625,0.5882352941176471,0.0833333333333333,0.7,0.2647058823529412,0.125,0.7125,0.3823529411764705,0.125,0.8375,0.4117647058823529,0.0416666666666666,0.8,0.5294117647058824,0.0416666666666666,0.8,0.4411764705882353,0.0833333333333333,0.8875,0.1764705882352941,0.125
5115,0.8625,0.5882352941176471,0.0833333333333333,0.6875,0.2647058823529412,0.0833333333333333,0.7125,0.4411764705882353,0.125,0.85,0.4705882352941176,0.0416666666666666,0.7875,0.5294117647058824,0.0416666666666666,0.825,0.4411764705882353,0.0833333333333333,0.8875,0.1764705882352941,0.125
5116,0.85,0.5588235294117647,0.0833333333333333,0.6875,0.2352941176470588,0.0833333333333333,0.6875,0.4411764705882353,0.125,0.825,0.4411764705882353,0.0416666666666666,0.8,0.4705882352941176,0.0416666666666666,0.8375,0.4411764705882353,0.125,0.875,0.1764705882352941,0.125
5117,0.8375,0.5588235294117647,0.0833333333333333,0.7125,0.2352941176470588,0.0416666666666666,0.725,0.4705882352941176,0.125,0.85,0.4705882352941176,0.0416666666666666,0.775,0.5294117647058824,0.0416666666666666,0.8125,0.3529411764705882,0.0833333333333333,0.8875,0.1470588235294117,0.125
5118,0.8625,0.5882352941176471,0.0833333333333333,0.7,0.2647058823529412,0.0416666666666666,0.725,0.4411764705882353,0.1666666666666666,0.8375,0.4705882352941176,0.0416666666666666,0.8125,0.5588235294117647,0.0416666666666666,0.8125,0.3823529411764705,0.0833333333333333,0.875,0.1764705882352941,0.125
5119,0.8625,0.5882352941176471,0.0833333333333333,0.65,0.1764705882352941,0.0833333333333333,0.675,0.4117647058823529,0.125,0.8875,0.4705882352941176,0.0416666666666666,0.8,0.5882352941176471,0.0416666666666666,0.825,0.4117647058823529,0.0833333333333333,0.875,0.1470588235294117,0.125
5120,0.875,0.5882352941176471,0.0833333333333333,0.6875,0.2058823529411764,0.0416666666666666,0.7,0.4705882352941176,0.125,0.8625,0.3823529411764705,0.0416666666666666,0.7875,0.5588235294117647,0.0416666666666666,0.8125,0.3823529411764705,0.125,0.8875,0.1764705882352941,0.125
5121,0.8375,0.5294117647058824,0.0833333333333333,0.6875,0.2058823529411764,0.0416666666666666,0.7375,0.4411764705882353,0.125,0.825,0.4705882352941176,0.0416666666666666,0.8,0.4705882352941176,0.0,0.8,0.4705882352941176,0.0416666666666666,0.875,0.0588235294117647,0.125
5122,0.8875,0.6176470588235294,0.0833333333333333,0.6875,0.1764705882352941,0.0833333333333333,0.725,0.4117647058823529,0.125,0.8375,0.4705882352941176,0.0416666666666666,0.8,0.5294117647058824,0.0,0.8125,0.4705882352941176,0.0833333333333333,0.875,0.1764705882352941,0.125
5123,0.875,0.6176470588235294,0.0833333333333333,0.675,0.1764705882352941,0.0833333333333333,0.7125,0.5,0.0833333333333333,0.875,0.4411764705882353,0.0416666666666666,0.7875,0.5294117647058824,0.0416666666666666,0.8125,0.4411764705882353,0.0833333333333333,0.8875,0.1764705882352941,0.125
5124,0.8625,0.5294117647058824,0.0833333333333333,0.7,0.2647058823529412,0.0833333333333333,0.6875,0.3823529411764705,0.125,0.825,0.4411764705882353,0.0416666666666666,0.8125,0.5588235294117647,0.0416666666666666,0.8125,0.4117647058823529,0.0833333333333333,0.875,0.1764705882352941,0.125
5125,0.8375,0.5882352941176471,0.0833333333333333,0.675,0.2941176470588235,0.0833333333333333,0.7125,0.5,0.125,0.825,0.3823529411764705,0.0416666666666666,0.8125,0.5882352941176471,0.0416666666666666,0.8,0.4411764705882353,0.0833333333333333,0.8625,0.1470588235294117,0.125
5126,0.8375,0.5882352941176471,0.0833333333333333,0.7125,0.2352941176470588,0.0833333333333333,0.7,0.4117647058823529,0.125,0.825,0.4411764705882353,0.0416666666666666,0.8,0.5882352941176471,0.0416666666666666,0.825,0.4117647058823529,0.0833333333333333,0.8625,0.1764705882352941,0.125
5127,0.875,0.5588235294117647,0.0833333333333333,0.7125,0.2647058823529412,0.0416666666666666,0.6875,0.4117647058823529,0.125,0.875,0.4705882352941176,0.0416666666666666,0.8,0.5882352941176471,0.0416666666666666,0.8,0.4411764705882353,0.0833333333333333,0.8875,0.1470588235294117,0.125
