,Autocorr,Crosscorr MZ,Crosscorr DZ,Crosscorr NT,Autocorr std,Crosscorr MZ std,Crosscorr DZ std,Crosscorr NT std
G_and_S_paracentral R,0.9491232316704915,0.9469931183347144,0.9190668994778008,0.8640177632953671,0.07263401857464724,0.04142150776509907,0.07263998601851852,0.10073732387035775
G_and_S_subcentral L,0.9642714423302026,0.9587275332778733,0.9286843727368381,0.9035196554646345,0.05290353702145543,0.03500137223114781,0.054635148696737565,0.06689426629026682
G_and_S_subcentral R,0.9635101477783988,0.9695373252722255,0.9490512373155224,0.9002621435723478,0.0549873838858481,0.02522383163445123,0.032424784421882846,0.06273795209296959
G_and_S_transv_frontopol L,0.9824712838839582,0.9785856724436456,0.9614501550689639,0.9517067028667406,0.021361263498482688,0.028317168199138137,0.050088190610234846,0.041059482370992266
G_and_S_transv_frontopol R,0.9833782285589749,0.9815206911048622,0.9574402576614344,0.9603370398974729,0.019898828447343756,0.023819073394814216,0.05429446687437598,0.03530729124477917
G_cingul-Post-dorsal L,0.9520174513671715,0.9443909239470037,0.9203142831491301,0.8559292377846309,0.07208068136560433,0.04908242846800079,0.048210761706406154,0.11719917483167287
G_cingul-Post-dorsal R,0.951627885606682,0.9498694899708335,0.9188015971283744,0.8593185786733856,0.07160005080756059,0.047411993682300306,0.047317870766374746,0.10930794036083741
G_cingul-Post-ventral L,0.9611569275065764,0.9655582470337912,0.9399351707490975,0.9005453952974132,0.05207243616728593,0.038732881034831995,0.037819315194187984,0.06579408654028121
G_cingul-Post-ventral R,0.9617625191487328,0.9556489321169663,0.9317480963218998,0.8959992405796884,0.048610248952523305,0.06621461195910454,0.05597118741495887,0.07188566788419992
G_cuneus L,0.9348282692757782,0.953932882612268,0.8793148128749757,0.8293437651494631,0.10303601747374785,0.057521856772681706,0.08080085235809202,0.11096429919864119
G_cuneus R,0.933347623492563,0.9606042900571388,0.9038888677932552,0.8294513147872817,0.10636527302212406,0.04878257124655382,0.0675222007082137,0.11086354500269549
G_front_inf-Opercular L,0.9711566193879556,0.9636826733236923,0.9454792457688315,0.9236183582946177,0.04543987517954828,0.038754215953286195,0.04074985236505776,0.05339402084994841
G_front_inf-Opercular R,0.9700507632512596,0.9721588481858066,0.9504354945733038,0.922652149266802,0.044739317341937423,0.02207165784910441,0.022393278818971962,0.0506397721809636
G_front_inf-Orbital L,0.9760496024057186,0.9759602669388405,0.930994977371842,0.9301216108301639,0.03309470442997813,0.02055085340739234,0.09209971954387923,0.05534303455408507
G_front_inf-Orbital R,0.9787856131759473,0.9733812485581855,0.9503014435908452,0.9400008660027391,0.032209729092544215,0.02387973011878431,0.07855755942710954,0.051642345075038155
G_front_inf-Triangul L,0.9765543241349551,0.9773012695901669,0.9465898423933695,0.937678592145999,0.03231057156790702,0.020130057910568117,0.061448323394847654,0.044958731327696184
G_front_inf-Triangul R,0.9757335126510212,0.9761960319908249,0.9632416785206019,0.9346338323331854,0.03939902473592111,0.01689758550746317,0.031712641975938656,0.048897139494251875
G_front_middle L,0.9768484152680911,0.9769276684556267,0.9463676642603082,0.9412985203584086,0.03379239990009646,0.02527610114498187,0.05461498519280997,0.046920917694995894
G_front_middle R,0.9768287138578273,0.9712817479703444,0.9585545217957545,0.9430822716382963,0.03351545059332682,0.03111688520593199,0.05197181549311844,0.044134916355402364
G_front_sup L,0.9665952877504477,0.9673279857123532,0.9477099666370525,0.9055448538710735,0.04972481302835918,0.03261091629254325,0.036255878469316785,0.06789231180444082
G_front_sup R,0.9680735796994354,0.9660027952632921,0.9420936447252328,0.9167905503921039,0.04388760589843515,0.03374562682169404,0.044930421638108564,0.053772947084677336
G_insular_short L,0.9751559830241862,0.9741683006622992,0.9502371991787099,0.9378608451799723,0.03211531138412399,0.028017830037925587,0.044416849399719224,0.04384610410531923
G_insular_short R,0.9768238006909724,0.9783134369011307,0.9517601426975842,0.9393419053845791,0.03060098011421745,0.019181009282160467,0.03776027093989359,0.04071879343427813
G_oc-temp_lat-fusifor L,0.9575501748274193,0.9684942005246889,0.9261880173265667,0.8794396898165339,0.0677961900384832,0.03200871121631696,0.04399568051446321,0.08496563689276218
G_oc-temp_lat-fusifor R,0.9524386573247143,0.9632571763620041,0.9233162706643625,0.8682629393013803,0.07479297296565894,0.03720532146153091,0.043701865085220976,0.08911134004966721
