ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
G_cingul-Post-dorsal R,0.838421608729979,0.8597254419950017,0.8656147644287888,0.8193783294526712,0.8071260184395019,0.8774719185670916,0.8446230136021725
G_cingul-Post-ventral L,0.829939047974175,0.8845062506228065,0.8716812704756431,0.8524261428962303,0.870695821545843,0.8578620062759845,0.8611850899651138
G_cingul-Post-ventral R,0.8267661682318148,0.8685901654015329,0.8591995373207414,0.8706271844723129,0.8828649648711309,0.8618234230375108,0.8616452405558407
G_cuneus L,0.8667892431016263,0.8735433190950237,0.8937663078993232,0.881724244586761,0.9387889352046492,0.8823099203889896,0.8894869950460622
G_cuneus R,0.8326789208776948,0.8611619979574527,0.9067679867776073,0.8836482617261683,0.9173129614099462,0.8544451556104226,0.8760025473932153
G_front_inf-Opercular L,0.8529948878429667,0.8832518004198484,0.872640375334669,0.8794632994346713,0.8840596945585318,0.7691361347109532,0.8569243653836067
G_front_inf-Opercular R,0.8691147763975122,0.8930328904462954,0.882671875720575,0.8713245102490853,0.8663938089399383,0.7335506428638542,0.8526814174362101
G_front_inf-Orbital L,0.8539942473533941,0.8938217082483608,0.9256364577263188,0.8996730594662584,0.892379746898461,0.7119500494979276,0.8629092115317868
G_front_inf-Orbital R,0.9107058893023416,0.9014656575988886,0.9306263975577483,0.9158777492277448,0.9334211908164314,0.825390250262526,0.9029145224609468
G_front_inf-Triangul L,0.9444149709522596,0.9429338116197878,0.9436664551438027,0.9398634629555901,0.9365646148177367,0.8476988497081206,0.9258570275328829
G_front_inf-Triangul R,0.9573559844600396,0.9699034335290854,0.9607251277160822,0.9601913945023486,0.9448391553567964,0.8234038767788809,0.9360698287238721
G_front_middle L,0.9336569697677928,0.9612592878349294,0.9531906673538376,0.875743551193884,0.8229950620405413,0.7736963428238565,0.8867569801691403
G_front_middle R,0.9223351413643742,0.9481284198264356,0.9461200584021328,0.9351002119170381,0.8272245131696785,0.7729884106337169,0.8919827925522293
G_front_sup L,0.8978603088412751,0.900360744129664,0.8967005233450343,0.8518522382284679,0.8130849741270774,0.7722469369515897,0.8553509542705182
G_front_sup R,0.8924979488865994,0.9150240586080083,0.8766746955954956,0.8770822975627212,0.8173498051822442,0.7727035430072658,0.8585553914737224
G_insular_short L,0.8554626023867377,0.906442780885306,0.9072049327709649,0.8768745736719398,0.9104999718288059,0.7963866798625119,0.8754785902343777
G_insular_short R,0.8954915257582556,0.9164343620584041,0.9181415334263832,0.9039394708878706,0.9129450473583718,0.8115632014545292,0.8930858568239691
G_oc-temp_lat-fusifor L,0.8400327088195629,0.8139032032693676,0.8610377044263953,0.8810012431672396,0.8689615930983724,0.756345676483181,0.8368803548773531
G_oc-temp_lat-fusifor R,0.8515633871156342,0.8531290754031002,0.8603392009836544,0.8533547764390484,0.8561254672451508,0.7735736207439721,0.8413475879884267
G_oc-temp_med-Lingual L,0.8344499549494917,0.8054514600618864,0.8687297732765383,0.8184593915773297,0.891605679763547,0.7946117075522714,0.8355513278635108
