Subjects,Twin_DZ_1A,Twin_DZ_1B,Twin_DZ_2A,Twin_DZ_2B,Twin_DZ_3A,Twin_DZ_3B,Twin_DZ_4A,Twin_DZ_4B,Twin_DZ_5A,Twin_DZ_5B,Twin_DZ_6A,Twin_DZ_6B,Twin_DZ_7A,Twin_DZ_7B,Twin_DZ_8A,Twin_DZ_8B,Twin_DZ_9A,Twin_DZ_9B,Twin_DZ_10A,Twin_DZ_10B,Twin_DZ_11A,Twin_DZ_11B,Twin_DZ_12A,Twin_DZ_12B,Twin_DZ_13A,Twin_DZ_13B
Twin_DZ_6A,0.9847538922506125,0.9910287213134037,0.988396548252861,0.9644727331991904,0.9836422048165565,0.9855767663082817,0.978560805407897,0.9794072991343885,0.9902900232587901,0.9097545865927672,0.9977861865551458,0.961214913976751,0.9582540475806571,0.9797147895473906,0.9716332844594802,0.9831033891569951,0.9721955699260996,0.9905622073030784,0.9802893391712314,0.9668592203575852,0.9843094979069997,0.9706428251641677,0.9652317079570607,0.9850290288779526,0.9557695937484533,0.981874096325057
Twin_DZ_6B,0.9596731510489265,0.9678881004284947,0.9608627874608232,0.9611816218100591,0.9814881474495197,0.9559006706311899,0.9755117860410081,0.9779753233014776,0.9627722676055817,0.8901881608948907,0.9663203360618167,0.9951715567571224,0.9779933098877553,0.9814606824963152,0.946713712406722,0.9649008167106702,0.9514962694965022,0.9543729025512612,0.9449399847670479,0.9023125389182849,0.9540226998371774,0.9560939804964894,0.9793447467749838,0.9797699851672348,0.9620526558846888,0.9725003059869035
Twin_DZ_7A,0.9719898996349755,0.9773823496101656,0.9735493122034959,0.9740663620597572,0.9872896546453054,0.9665185686266842,0.9816672812111215,0.9793496401486667,0.971253484612983,0.8936338419147576,0.9746417533906739,0.9764573143383438,0.9878081648744754,0.988347489200192,0.9613453463407571,0.9776326362144974,0.9637202784540936,0.9670970925295816,0.9551580209312434,0.9146781770901956,0.9683699241120568,0.9677243564511722,0.980942727871809,0.9832341756669032,0.9554633381776338,0.9805671789744266
Twin_DZ_7B,0.9815664436972482,0.9844022054208121,0.982371761729673,0.9742175621307787,0.9916967785049713,0.9762557997394634,0.9851593660187009,0.9866602134193296,0.9809810702549716,0.8982454035891252,0.9840598065737249,0.977509473564095,0.9820555051978013,0.9971208225171888,0.9712779581198758,0.9849921894653086,0.9739377242655335,0.9776212059918743,0.9653146455633345,0.9274830553701485,0.9749736726584269,0.9741137368058477,0.9861674167353132,0.9898829385056583,0.9604776218716734,0.9825740251060806
Twin_DZ_8A,0.9822263172185348,0.9778201861946751,0.988140746222596,0.9849424712316412,0.9770781343301691,0.9835313041994378,0.9831294163900502,0.9767641659463251,0.9767861153888979,0.8959883378838313,0.9734104594252777,0.9477940748288427,0.9654750145971067,0.9742097867033526,0.9939491867867961,0.9825522561767356,0.9934621575125613,0.9837967096136004,0.9755235657372081,0.9358425546971356,0.986844888978418,0.987429286489754,0.970448646117516,0.9729671332312375,0.9549903772914964,0.9742318418060042
Twin_DZ_8B,0.9904896586802175,0.987146527512286,0.9917920050420763,0.9795967769153469,0.9866386505781122,0.9878245979071736,0.9856924365450379,0.9821489334548581,0.9838734052643836,0.9038290011118231,0.9849969611254911,0.9619681013098238,0.9723067700596039,0.9841523764003822,0.9877024596631897,0.9964642827623243,0.9875107178897884,0.9896733515899007,0.9809835207057935,0.9507952336024579,0.9870384668608219,0.9835452385005088,0.9724362302749547,0.9825016097285535,0.9633312671590668,0.9837970719122222
Twin_DZ_9A,0.9819780710053544,0.9744857263284854,0.9841439728529636,0.9840300522299049,0.9770895268414208,0.9841142834937122,0.9826681877269972,0.9758086724907362,0.9713105297640052,0.9013638735672154,0.9694446706616033,0.9471496281180238,0.9674080552771831,0.9728456504022862,0.9860238344094003,0.9809927844079154,0.9972432792819584,0.9812532567801222,0.9765449495842002,0.9306279331643927,0.9831495943373126,0.9893978928522098,0.9721801658457543,0.9716507943817965,0.9581261710188345,0.9719256149533975
Twin_DZ_9B,0.9896606720203571,0.9883673714402712,0.9919972327320599,0.972798137796884,0.9793035815429096,0.9893108381159866,0.9792467017135469,0.9751777207699726,0.9858506175350412,0.9078890977535357,0.9886287685943309,0.9532742139177106,0.9576817754834279,0.9762241782906601,0.9818560167691233,0.9858077162421219,0.9843210120122797,0.9973425464841504,0.9861189692317438,0.9668456142616955,0.9883932279036007,0.9787460467730293,0.9623226109635755,0.9779879251695602,0.957536296381494,0.9813823709255809
Twin_DZ_10A,0.9887178561202846,0.9849571340417311,0.9896687282484715,0.9749613521593412,0.9787512261368199,0.9878588353914804,0.9792398297608682,0.9726843909682573,0.9822936043915863,0.9038723625785556,0.9844327669817698,0.9523186571271235,0.9601883468678726,0.9728630606777835,0.980404008367724,0.9860144800201089,0.9821566642386299,0.9901039945003084,0.9868742809186353,0.9639270329799314,0.985393335721137,0.9801955513617446,0.9600530628442532,0.9777413201416925,0.9558803077480882,0.9831093876839332
Twin_DZ_10B,0.9543574694027552,0.9571594153841624,0.9602553481155494,0.9176472993214368,0.9295168647073389,0.9637109718512535,0.9257607991563234,0.9207124960119024,0.9531781484921171,0.8730046665629602,0.9650879162685624,0.9011675457094118,0.8882291168217786,0.9219190592373474,0.9441700200577657,0.952989362391716,0.9380238357801363,0.9714129253929553,0.9649958073277809,0.9967968662268132,0.9599065627853705,0.9336455933091348,0.8930873698289382,0.9317711894189853,0.9110495004047918,0.9401558962221424
Twin_DZ_11A,0.9862599149968876,0.9840918138995238,0.9904766340332984,0.9779797671182484,0.9801187381422569,0.9862493152621898,0.9856656836982567,0.9776230131287362,0.9815821378444156,0.8987761090406359,0.9808991722225708,0.9526623701436936,0.9673602774655448,0.9765325719117441,0.9841626497407946,0.9830675815368508,0.9845545322454848,0.9871167489462829,0.9783431698290594,0.9483595585649536,0.9967256979738499,0.9867752222277411,0.9650701442423821,0.9759981242362396,0.9598250785113549,0.9798007577263173
Twin_DZ_11B,0.9820220655152778,0.9783092156794757,0.9839465765753281,0.9865751959405832,0.9815400955276486,0.9828163334076787,0.9872714466113495,0.9797444422314499,0.975569347869945,0.9006672742879096,0.971498311551643,0.9540361408577138,0.9773304331331487,0.9759855794596662,0.9817380771134379,0.9791401144425051,0.9880910450265807,0.9780122308446936,0.9734826555607523,0.9292552815558466,0.9883465166007712,0.9956458721913067,0.9733356219177738,0.9746805554638294,0.9617090747562176,0.9784195723774398
Twin_DZ_12A,0.945577658340802,0.9342886443808683,0.9438340637437401,0.9484700026367181,0.955733685852324,0.9469634453186991,0.9614629207800227,0.9551709072861092,0.9381185801291145,0.9196957235234668,0.9313438705704998,0.9517191186357619,0.9567875638244704,0.9490438911610835,0.9391288077102729,0.9425988659406557,0.9557972252198108,0.9356682666184295,0.9463130000071452,0.8698632874119816,0.939720255107445,0.9503155503428605,0.960956452008112,0.9496171396929929,0.9557379496218473,0.9427244784195541
Twin_DZ_12B,0.9804922031316811,0.9841739673303944,0.983212171143375,0.9767724560536026,0.9898825167403985,0.978546106589999,0.9893936010671958,0.988412591184906,0.9846455859524259,0.9011785566463022,0.9837525996202039,0.9743471914707431,0.9773187115723712,0.9869766788287855,0.9710176469238041,0.9804063302660719,0.9743044498597895,0.9768615939866887,0.9682900182474388,0.9318893366767997,0.9750795589591699,0.9751914803639825,0.9845242814220845,0.996300593465385,0.9602044229310811,0.9848054748494226
Twin_DZ_13A,0.969744568873107,0.9716384017042696,0.970287124376291,0.9690685575687241,0.9752791592457153,0.9690014819604158,0.9750743753355613,0.9690567721757419,0.9634667168056805,0.9103161417848631,0.965968837206605,0.9732232586895706,0.9702684425520828,0.9690024869047764,0.9510337985886692,0.9701136921206979,0.9640277573042677,0.9674072881448548,0.9629718503800029,0.9232700087582414,0.965870934603392,0.9645675972358543,0.963611030373644,0.9712170599172745,0.9813373924533115,0.9791348871471761
Twin_DZ_13B,0.9748731222147349,0.9727467824091753,0.973892811596434,0.9675382834325885,0.9753165555401181,0.969726178923624,0.9768383599707883,0.9719494162929874,0.9708812562387419,0.9280153334938407,0.9681048121031539,0.9691359089345339,0.9683744293040579,0.9643669207474594,0.9577111147609766,0.9707277977453538,0.9681080547914651,0.9708539053644719,0.9710530559994707,0.9269960820160152,0.9701870310289682,0.9701360035830293,0.9627146646686894,0.9709390604965231,0.9843802870707437,0.9830058111190898
