gene,EntrezID,p_value,loading
GRPEL2,134266,0.009,0.505338966846466
ZMAT4,79698,0.016,0.505434632301331
CHEK2,11200,0.005,0.505572378635406
OR2L13,284521,0.004,0.505763649940491
HTR5A,3361,0.004,0.505830585956573
GRAMD1B,57476,0.054,0.506013512611389
IRS1,3667,0.014,0.506102800369263
ZNF562,54811,0.088,0.506106674671173
PWARSN,0,0.014,0.506152451038361
FAR2,55711,0.007,0.5062615275383
INPP5F,22876,0.02,0.506565868854523
FKBP2,2286,0.033,0.506753087043762
PPIL3,53938,0.021,0.506877601146698
AKAP12,9590,0.096,0.507306575775146
PAG1,55824,0.009,0.507343769073486
DGKI,9162,0.016,0.507345378398895
PIP5KL1,138429,0.068,0.507414102554321
PTPN14,5784,0.03,0.507551789283752
MBD2,8932,0.06,0.507947683334351
LINC02012,0,0.03,0.508257329463959
DCBLD2,131566,0.017,0.508422315120697
CACNG7,59284,0.037,0.508532166481018
PLEKHH3,79990,0.051,0.508635818958282
SYT3,84258,0.01,0.508741617202759
FLYWCH1,84256,0.003,0.508748829364777
IGSF1,3547,0.023,0.508771061897278
SMOC2,64094,0.03,0.508955240249634
AARD,441376,0.021,0.508972465991974
TRMT9B,0,0.011,0.509012520313263
PI4K2A,55361,0.103,0.509126722812653
KIAA1107,23285,0.004,0.509355843067169
DEFB131A,0,0.025,0.509529054164886
PWAR5,0,0.029,0.509707748889923
KIAA1614,57710,0.011,0.509843349456787
KCNK12,56660,0.11,0.510004997253418
TAB3,0,0.011,0.5103799700737
IFIT5,24138,0.016,0.510561168193817
TRIM35,23087,0.031,0.510884940624237
DMKN,93099,0.071,0.510920822620392
GREB1,0,0.007,0.510981619358063
SPOCD1,90853,0.005,0.511412620544434
TRMT61B,55006,0.012,0.511454164981842
FMR1,2332,0.006,0.511513948440552
NEFL,4747,0.026,0.511595487594604
PIP5K1B,8395,0.009,0.511661469936371
AQP11,282679,0.009,0.511828422546387
ACVR1C,130399,0.048,0.511993527412415
HAR1A,768096,0.015,0.512071311473846
SLC38A2,54407,0.051,0.512229800224304
TIRAP,114609,0.005,0.512309789657593
ARHGEF11,9826,0.059,0.51283210515976
NTHL1,4913,0.031,0.512914776802063
ZNF383,163087,0.047,0.513054132461548
TDRD1,56165,0.055,0.51306277513504
FDX1,2230,0.017,0.513116657733917
ANKRD20A8P,729171,0.083,0.513132512569427
TRIM58,25893,0.039,0.513191282749176
MYMX,0,0.033,0.513301253318787
NGEF,25791,0.003,0.513306736946106
CKAP2,26586,0.013,0.513500034809113
STAG3L4,64940,0.008,0.513676106929779
NUP93,9688,0.004,0.513883233070374
STXBP5L,9515,0.018,0.51427149772644
PEPD,5184,0.016,0.51481819152832
STXBP1,6812,0.039,0.514990210533142
P2RX6,9127,0.067,0.515001952648163
SLC19A2,10560,0.019,0.515046834945679
ITGB3BP,23421,0.098,0.515211045742035
MBNL2,10150,0.014,0.515234291553497
INTS4P1,0,0.039,0.515448868274689
BCL2L2,599,0.007,0.515540719032288
SPNS2,124976,0.053,0.515591442584991
SLC25A40,55972,0.017,0.515629172325134
RNF26,79102,0.001,0.515727877616882
ARC,23237,0.017,0.51598984003067
LTN1,0,0.002,0.516390025615692
HUNK,30811,0.033,0.516440212726593
USB1,0,0.01,0.516497194766998
MKLN1,4289,0.049,0.517039597034454
ADD1,118,0.039,0.517525792121887
ATP1B1,481,0.033,0.517575800418854
GABRD,2563,0.009,0.517615497112274
INIP,0,0.06,0.517690598964691
PPIEL,728448,0.009,0.517773151397705
PINX1,54984,0.039,0.518342435359955
UBE2W,55284,0.005,0.518391191959381
PGP,283871,0.009,0.519090235233307
DENND2D,79961,0.074,0.519135713577271
ZDHHC21,340481,0.004,0.519146382808685
GABRG2,2566,0.002,0.519201755523682
ACHE,43,0.059,0.519247114658356
PASK,23178,0.008,0.519342303276062
DACT2,168002,0.035,0.519435882568359
XKR6,286046,0.022,0.5196373462677
KAZN,0,0.025,0.5199294090271
HARS,3035,0.007,0.519942820072174
NMRK1,0,0.007,0.520047724246979
SRPRA,0,0.039,0.520674824714661
LIAS,11019,0.053,0.520810306072235
CAMKK1,84254,0.011,0.52094578742981
ALDH1B1,219,0.02,0.521075487136841
SULT4A1,25830,0.004,0.521543323993683
PSMD6,9861,0.052,0.521566331386566
EYA4,2070,0.049,0.521661281585693
ZNF487,0,0.032,0.522186875343323
ALDH1A1,216,0.003,0.522439658641815
LMTK2,22853,0.008,0.522454142570496
SCN8A,6334,0.01,0.52275812625885
MICAL2,9645,0.024,0.522943675518036
RWDD2B,10069,0.01,0.523014962673187
PLCB4,5332,0.007,0.523045301437378
LOC643406,0,0.099,0.523052871227264
ST3GAL6-AS1,0,0.022,0.523189127445221
ZW10,9183,0.001,0.523239731788635
STX1B,112755,0.063,0.523285984992981
MTUS2,23281,0.023,0.523314893245697
TICAM1,148022,0.006,0.523320138454437
TRIM26,7726,0.005,0.52345335483551
NEXN,91624,0.055,0.523530185222626
LRRC4,64101,0.06,0.523706436157227
FGF7P6,0,0.021,0.52380758523941
NUDT5,11164,0.014,0.523936986923218
TLE2,7089,0.03,0.524008214473724
SFXN1,94081,0.035,0.524015367031097
RAPGEF5,9771,0.008,0.52408105134964
CLGN,1047,0.134,0.524371325969696
KALRN,8997,0.032,0.524454355239868
LAG3,3902,0.022,0.524647831916809
ZNF189,7743,0.002,0.524809300899506
PRICKLE1,144165,0.006,0.524966597557068
NFKB1,4790,0.012,0.525047600269318
JMY,133746,0.035,0.525370657444
CAMK1D,57118,0.06,0.52554714679718
ZNF557,79230,0.014,0.525547623634338
SEC62,7095,0.031,0.525818943977356
PRAG1,0,0.011,0.525925636291504
PRRT3,285368,0.013,0.526199996471405
CHML,1122,0.005,0.526740968227386
PJVK,0,0.024,0.526961922645569
RANBP2,5903,0.02,0.527048766613007
ATP6V1E2,90423,0.016,0.528183579444885
COL9A3,1299,0.003,0.528628528118134
CNIH1,0,0.004,0.528720438480377
CEND1,51286,0.04,0.52897584438324
TMEM250,0,0.019,0.529052019119263
LOC652276,0,0.103,0.529077529907227
MIR4697HG,0,0.065,0.529293239116669
PLEKHA6,22874,0.008,0.529594480991364
PDCL3P4,0,0.014,0.529603362083435
SORBS1,10580,0.085,0.530057907104492
NSRP1,0,0.012,0.530669510364532
MRPL22,29093,0.011,0.530735969543457
PURA,5813,0.026,0.530917823314667
MAT2B,27430,0.006,0.53127783536911
LINC00680,0,0.006,0.531493484973907
GNPDA2,132789,0.005,0.531538903713226
SLC38A1,81539,0.025,0.53157103061676
SLC47A1,55244,0.025,0.532167971134186
SIKE1,80143,0.04,0.53224766254425
USP8,9101,0.086,0.532298743724823
ZSCAN29,146050,0.003,0.532497644424438
PSME4,23198,0.034,0.532648503780365
TNF,7124,0.086,0.532665431499481
ARHGEF18,23370,0.011,0.532757699489594
FBXO28,23219,0.002,0.532847344875336
ZNF106,0,0.013,0.53284752368927
ZNF284,342909,0.01,0.533100068569183
ATG16L1,55054,0.017,0.533201932907104
ZNF576,79177,0.008,0.533222556114197
E2F1,1869,0.046,0.533263623714447
KCNS3,3790,0.034,0.533379554748535
COG2,22796,0.011,0.533496499061584
LPGAT1,9926,0.018,0.533589065074921
ATP2B1,490,0,0.533830523490906
NOB1,28987,0.033,0.534204244613647
NKX1-2,390010,0.007,0.534223735332489
EEF2K,29904,0.064,0.53434145450592
ZNF223,7766,0.002,0.534556984901428
NCOA3,8202,0.063,0.53458309173584
CORO6,84940,0.024,0.534747302532196
PIK3CA,5290,0.043,0.534803211688995
KLC2,64837,0.007,0.535045504570007
KCNT1,57582,0.05,0.535083591938019
PTPRE,5791,0.058,0.535175800323486
ISLR,3671,0.005,0.53518158197403
BBS7,55212,0.084,0.535264492034912
MTPAP,55149,0.029,0.535464406013489
MAP7D2,256714,0.033,0.53606128692627
ZFP14,57677,0.074,0.536153316497803
RERGL,79785,0.026,0.536162316799164
IGIP,0,0.006,0.53632789850235
BRSK1,84446,0.043,0.536397218704224
CPSF1,29894,0.007,0.536556422710419
NARS,4677,0.043,0.536786437034607
ABHD12,26090,0.035,0.536810994148254
SLC25A32,81034,0.013,0.536959946155548
ZC3H7B,23264,0.018,0.537427544593811
PIM1,5292,0.022,0.537572801113129
PKD1,5310,0.007,0.537654757499695
TRIP11,9321,0.049,0.537659287452698
ANXA3,306,0.008,0.537834584712982
TRMT2B,79979,0.05,0.537846505641937
ARHGAP44,0,0.013,0.537873208522797
NCEH1,0,0.004,0.53809267282486
ZNF567,163081,0.001,0.538223505020142
SOAT1,6646,0.031,0.538605451583862
HERC6,55008,0.016,0.538632214069366
FAM81A,145773,0.013,0.53869640827179
SCAMP5,192683,0.005,0.538720667362213
DENND4B,9909,0.034,0.539124488830566
MAX,4149,0.027,0.539222061634064
GPLD1,2822,0.061,0.539231240749359
CERK,64781,0.063,0.539386570453644
STX16,8675,0.007,0.53943282365799
TSC22D3,1831,0.006,0.539491236209869
FOXRED1,55572,0.005,0.539519608020782
PDE4A,5141,0.037,0.539538741111755
FUNDC2,65991,0.016,0.539752006530762
ADGRL2,0,0.066,0.539850056171417
AKAIN1,0,0.018,0.539928555488586
FBLIM1,54751,0.041,0.540408790111542
VWC2,375567,0.024,0.540624678134918
CLN6,54982,0.01,0.540675759315491
VILL,50853,0.074,0.540757119655609
TMEM169,92691,0.003,0.54079133272171
MTFP1,0,0.007,0.54094523191452
TRAK2,66008,0.017,0.540950894355774
GMPR2,51292,0.013,0.540982961654663
TSPYL4,0,0.004,0.541336238384247
KIAA1841,84542,0.045,0.541410863399506
APBA2,321,0.001,0.541489601135254
RPS6KC1,26750,0.009,0.541578412055969
MPC1,0,0.018,0.541843235492706
NR1H2,7376,0.022,0.542318284511566
TMEM237,0,0.013,0.54238760471344
PPFIBP1,8496,0.004,0.542403995990753
FAM133DP,0,0.014,0.542479634284973
CDADC1,81602,0.017,0.542971611022949
PCP4L1,654790,0.026,0.543121039867401
MCF2L,23263,0.015,0.543180644512177
TRMU,55687,0.003,0.543271481990814
ARL2BP,23568,0.025,0.543363034725189
ZFHX2,85446,0.025,0.543368458747864
SLC12A5,57468,0.01,0.543373465538025
CCDC47,57003,0.003,0.543781995773315
PC,5091,0.07,0.543927788734436
TMTC4,84899,0.059,0.543959856033325
MYO19,80179,0.018,0.544044852256775
ROCK2,9475,0.003,0.544046878814697
DENND1B,163486,0.027,0.544105887413025
NF2,4771,0.008,0.544137835502625
CS,1431,0.035,0.544293344020844
COL7A1,1294,0.008,0.544505000114441
LINC01102,0,0.023,0.544576108455658
FOCAD,0,0.005,0.544757902622223
LINC00266-1,0,0.003,0.544958114624023
ASAP2,8853,0.022,0.54498678445816
STS,412,0.02,0.545036733150482
CDKN2C,1031,0.012,0.545491218566895
TTC39B,158219,0.024,0.545560359954834
DCPS,28960,0.012,0.545886635780334
UBE2D4,51619,0.008,0.546046853065491
RICTOR,253260,0.008,0.546152293682098
GZF1,64412,0.003,0.546291410923004
RNF220,55182,0.004,0.546432137489319
DNM3,26052,0.01,0.546572387218475
CNEP1R1,0,0.007,0.546679794788361
HCN2,610,0.048,0.546963632106781
IQUB,154865,0.036,0.546979010105133
ZBTB11,27107,0.003,0.54712963104248
GALNT13,114805,0,0.54718554019928
SPTSSB,165679,0.018,0.547418892383575
TBC1D19,55296,0.011,0.54776793718338
NNMT,4837,0.01,0.547790825366974
ZFP91,80829,0.006,0.547864317893982
DYNLL2,140735,0.034,0.547902345657349
POGLUT1,0,0.005,0.548166692256927
FBXO32,114907,0.009,0.548183560371399
SMIM37,0,0.01,0.548748850822449
CBX7,23492,0.006,0.548881769180298
LRRC59,55379,0.007,0.548941671848297
AK2,204,0.011,0.548954784870148
TMEM38A,79041,0.005,0.548999965190887
SCN2B,6327,0.007,0.549107551574707
LINC00652,0,0.01,0.549546957015991
TMEM223,79064,0.029,0.549725949764252
MGARP,0,0.041,0.549889922142029
APOL1,8542,0.003,0.550015568733215
RNF208,727800,0.001,0.550476968288422
LYST,1130,0.01,0.550502181053162
SLC39A14,23516,0.01,0.550530731678009
HAGHL,84264,0.021,0.550542771816254
PABPC1L2A,340529,0.001,0.550579965114594
METTL21A,0,0.009,0.550816416740417
LRCH1,23143,0.011,0.551271319389343
FAM126B,285172,0.002,0.551506876945496
CLEC2L,154790,0.066,0.551823019981384
SLC5A6,8884,0.012,0.552009463310242
HSD11B1,3290,0.007,0.552091598510742
CCNB1,891,0.007,0.55274623632431
MTIF2,4528,0.004,0.553493559360504
FES,2242,0.003,0.553652346134186
KAZALD1,81621,0.001,0.5537029504776
FGD5,152273,0.004,0.554096221923828
LOC100505938,0,0.005,0.554322361946106
DDHD1,80821,0.001,0.55437046289444
FBLN7,129804,0.011,0.554476201534271
TBR1,10716,0.044,0.554799020290375
DCAF8L2,347442,0.051,0.554835975170135
LRRC20,55222,0.003,0.555031061172485
KYAT1,0,0.006,0.555521786212921
SGIP1,84251,0.005,0.555594563484192
AIFM3,150209,0.024,0.55571573972702
SH3BGRL2,83699,0.003,0.555833101272583
PLCD4,84812,0.016,0.555977821350098
ZFYVE9,9372,0.005,0.556132853031158
SMYD2,56950,0.005,0.556163847446442
SIRT4,23409,0.007,0.556345343589783
ANKRD42,338699,0.054,0.556491255760193
MAGI2-AS3,0,0.029,0.556584417819977
PDP1,54704,0.007,0.556644201278687
ZNF493,284443,0.007,0.556692004203796
FRMD5,84978,0.009,0.55724561214447
TPBG,7162,0.018,0.557287693023682
PRSS56,646960,0.036,0.557444751262665
MRPS30,10884,0.008,0.558052659034729
GAPVD1,26130,0.062,0.558261036872864
CCNT1,904,0.009,0.558304786682129
DDHD2,23259,0.004,0.558435440063477
FLJ42627,645644,0.113,0.558568716049194
CHCHD10,400916,0.005,0.558762907981873
EVI5,7813,0.004,0.559036195278168
RFPL3,10738,0.001,0.559397220611572
SHROOM2,357,0.003,0.559413492679596
WDR37,22884,0.002,0.559501588344574
TRPM2,7226,0.014,0.559544563293457
SLC8A1,6546,0.029,0.559807121753693
DYNC1LI1,51143,0.001,0.560017168521881
GPR161,23432,0.026,0.560140132904053
SYN3,8224,0.123,0.560273289680481
SUMF2,25870,0.004,0.560616850852966
PTX3,5806,0.023,0.560665130615234
GPR108,56927,0.014,0.56169468164444
MRPL27,51264,0.023,0.561846792697906
DND1,373863,0.038,0.562374830245972
NSUN4,387338,0.002,0.562424421310425
PCGF1,84759,0.004,0.562874972820282
TMEM86B,255043,0.027,0.563033163547516
RSRC1,51319,0.01,0.563226103782654
URM1,81605,0.035,0.563458144664764
MAST4,375449,0.013,0.563465356826782
MARF1,0,0.02,0.563509404659271
RTN2,6253,0.009,0.563521206378937
MED11,400569,0.034,0.56352174282074
NR3C2,4306,0.026,0.563671886920929
MREG,55686,0.029,0.563687026500702
CHIC1,53344,0.03,0.563732862472534
FAM216A,0,0.009,0.563992917537689
STARD5,80765,0.013,0.564005970954895
SLC38A11,151258,0.035,0.564397692680359
GLCCI1,113263,0.015,0.564467549324036
DCLK1,9201,0.034,0.564538478851318
PIP5K1C,23396,0.01,0.564643442630768
SACM1L,22908,0.018,0.565156817436218
TWNK,0,0.012,0.565365135669708
MRPL15,29088,0.012,0.565529763698578
ATP1A1,476,0.008,0.565674066543579
CDKN1B,1027,0.003,0.565725088119507
SDHA,6389,0.011,0.565790474414825
OCEL1,79629,0.006,0.566117942333221
PRIM1,5557,0.01,0.566177606582642
TTBK2,146057,0.04,0.566548645496368
SAT2,112483,0.003,0.566617369651794
AARS,16,0.012,0.566692709922791
UBE2QL1,134111,0.005,0.566793501377106
SPECC1,0,0.028,0.566928505897522
ZNF143,7702,0.002,0.567254066467285
GK,2710,0.006,0.567570984363556
HEXB,3074,0.002,0.567614197731018
SUPT16H,11198,0.006,0.567743897438049
MAP3K6,9064,0.025,0.567791759967804
EFNA5,1946,0.014,0.567930400371552
MINDY3,0,0.023,0.568056523799896
ANKH,56172,0.011,0.568203330039978
TBC1D16,125058,0.019,0.568228304386139
SMPX,23676,0,0.568297564983368
TCF7L2,6934,0.004,0.568441033363342
NFATC2IP,84901,0.029,0.56855034828186
PLCXD1,55344,0.036,0.568581581115723
GOT2,2806,0.027,0.569241344928741
REEP2,51308,0.006,0.569433808326721
TFB2M,64216,0.005,0.569875597953796
AGPAT3,56894,0.003,0.570193111896515
SYCP2,10388,0.033,0.570389866828918
PSMD12,5718,0.049,0.570391893386841
LINC01637,0,0.017,0.570495963096619
SNTG1,54212,0.016,0.571386158466339
FAM217B,0,0.002,0.571424961090088
TBCE,0,0.014,0.57144969701767
GUCA2B,2981,0.057,0.571516811847687
KIAA1656,0,0.003,0.571606457233429
DEPTOR,0,0.006,0.571617186069489
ARMC8,25852,0.004,0.571672260761261
TMEM161B-AS1,0,0.013,0.57215827703476
AP1S2,8905,0.008,0.572195589542389
OSBPL1A,114876,0.007,0.572259485721588
VWA8,0,0.056,0.572886049747467
DUS1L,64118,0.054,0.572893917560577
RMI1,80010,0.018,0.5731600522995
POU6F1,5463,0.02,0.57350105047226
ATG4D,84971,0.008,0.573660016059875
WDYHV1,55093,0.004,0.573816657066345
CPEB3,22849,0.007,0.573907077312469
L2HGDH,79944,0.02,0.574364006519318
PLCB1,23236,0.003,0.574369251728058
CABLES2,81928,0.002,0.574478030204773
FLT3,2322,0.033,0.574672400951385
TESPA1,0,0.014,0.574942290782928
LPCAT4,254531,0.023,0.57499098777771
SLC35A4,113829,0.026,0.57505190372467
PREP,5550,0.001,0.575315594673157
MFGE8,4240,0.008,0.575493574142456
BOLA3,388962,0.011,0.575617074966431
EPHX4,253152,0.004,0.575648784637451
BMS1,9790,0.005,0.575767517089844
SPHK1,8877,0.006,0.575853228569031
RRM2B,50484,0.069,0.575882375240326
MID2,11043,0.016,0.576095044612885
NUDT22,84304,0.016,0.57624614238739
IQSEC1,9922,0.026,0.576610088348389
DNAJC22,79962,0.003,0.576655209064484
GCHFR,2644,0.027,0.57678484916687
ANKRD9,122416,0.009,0.576909184455872
UBFD1,56061,0.003,0.577719449996948
RCCD1,91433,0.016,0.577768325805664
GRIN2A,2903,0.003,0.577798247337341
DCUN1D2,55208,0.011,0.577948451042175
COL27A1,85301,0.096,0.577970683574677
MOGAT2,80168,0.047,0.578544676303864
ST8SIA5,29906,0.005,0.578646183013916
MATK,4145,0.009,0.578786194324493
KLF9,687,0.005,0.579053282737732
RPS6KA3,6197,0.01,0.579063534736633
RBFOX3,0,0.002,0.579160809516907
BHLHE40,8553,0.014,0.579216539859772
RUNDC3B,154661,0.035,0.579782903194427
COASY,80347,0.003,0.580240428447723
KCNS2,3788,0.004,0.580282628536224
RBBP4,5928,0.004,0.58031165599823
TMEM178A,0,0.009,0.580549418926239
RND2,8153,0.001,0.580592274665833
NREP,0,0.009,0.580695509910583
DNAJC16,23341,0.001,0.580826640129089
IER5L,389792,0.002,0.581083238124847
ZDHHC3,51304,0.013,0.581315577030182
TRIM44,54765,0.011,0.581800639629364
CLEC4M,10332,0.012,0.581863224506378
LOC101928087,0,0.012,0.581870079040527
KCNAB3,9196,0.013,0.582157850265503
FAM78B,149297,0.023,0.582319021224976
PPP1R3E,90673,0.017,0.582377731800079
NR3C1,2908,0.009,0.582393705844879
LINC00889,0,0.017,0.582422494888306
CCNB1IP1,57820,0.01,0.582431137561798
CDR2L,30850,0.013,0.582959055900574
DHX35,60625,0.007,0.583159983158112
LOC100507642,0,0.009,0.583698153495789
KATNAL1,84056,0.007,0.583783268928528
MRPL12,6182,0.013,0.583853721618652
IGLON5,402665,0.016,0.584053337574005
FAM71E1,112703,0.045,0.584330022335052
CAMTA1,23261,0.004,0.584434866905212
TDP2,0,0.007,0.584568321704865
ANKRD29,147463,0.027,0.584783554077148
EXTL2,2135,0.005,0.584818840026855
PRSS16,10279,0.002,0.584824085235596
SLC4A8,9498,0.035,0.584911286830902
TMEM14C,51522,0.004,0.584927976131439
SLC35F3,148641,0.014,0.585488140583038
ZBTB16,7704,0.008,0.585496842861176
GLRX,2745,0.004,0.585577249526978
INPP5A,3632,0.018,0.585635423660278
CHGA,1113,0.004,0.585914850234985
C6orf106,64771,0.013,0.5859414935112
HTR1F,3355,0.018,0.586033999919891
LMLN,89782,0.01,0.586066126823425
TTC39A,22996,0.014,0.586143493652344
PIF1,80119,0.012,0.58630633354187
SLC9A1,6548,0.007,0.586566746234894
ETS2,2114,0.002,0.586657524108887
EFR3A,23167,0.017,0.586772501468658
NOM1,64434,0.037,0.587329030036926
USP45,85015,0.029,0.587736189365387
MADCAM1,8174,0.016,0.587932705879211
ZBTB1,22890,0.011,0.588097214698792
REPIN1,29803,0.007,0.588284552097321
FASTKD1,79675,0.049,0.589136838912964
THEM6,0,0.004,0.589590311050415
SOHLH1,402381,0.01,0.589801371097565
ELOVL4,6785,0.022,0.589956045150757
FAM167B,84734,0.014,0.590105295181274
PPP1R3F,89801,0.001,0.590495347976685
STPG1,0,0.01,0.59050577878952
ABLIM2,84448,0.004,0.590532720088959
ENTPD4,9583,0.032,0.590544462203979
SMIM3,0,0.01,0.590696454048157
TIGD3,220359,0.001,0.590706944465637
JDP2,122953,0.021,0.59079921245575
ZFYVE19,84936,0.013,0.591064214706421
SH3BP1,23616,0.003,0.591090679168701
SAE1,10055,0.001,0.591093301773071
MRPS30-DT,0,0.001,0.591462135314941
SLC16A7,9194,0.013,0.592053592205048
LINC00515,282566,0.006,0.59224659204483
SLC7A8,23428,0.002,0.592352569103241
SDHAF2,54949,0.004,0.592407584190369
PRUNE2,158471,0.004,0.592441558837891
LOC220729,0,0.033,0.592758476734161
C1RL,51279,0.025,0.593157827854156
ACTR1B,10120,0.001,0.59317535161972
SMCO4,0,0.026,0.593222081661224
VGF,7425,0.002,0.593392193317413
SPAG4,6676,0.016,0.593579947948456
IDH3G,3421,0.009,0.593767762184143
EPB41,2035,0.022,0.59385472536087
PARP3,10039,0.006,0.594153106212616
MAGI3,260425,0.004,0.594153821468353
CAST,831,0.013,0.594156622886658
LRRC38,126755,0.007,0.594287514686584
EMBP1,0,0.012,0.59439891576767
ALX3,257,0.036,0.594818770885468
FSTL4,23105,0.002,0.59492164850235
KCNH1,3756,0.001,0.594929575920105
AMER1,0,0.003,0.594959199428558
ANKRD2,26287,0.007,0.594981133937836
UPP1,7378,0.013,0.595589339733124
CDH7,1005,0.006,0.595953464508057
BID,637,0.002,0.596006214618683
ATP1B3,483,0.004,0.596425652503967
POPDC3,64208,0.013,0.597149908542633
CCDC115,84317,0.004,0.597243905067444
TMX4,56255,0.009,0.597521305084229
SLC25A12,8604,0.005,0.597838699817657
FAM135B,51059,0.032,0.59803718328476
SPECC1L,0,0.004,0.598138809204102
SIPA1L3,23094,0.011,0.598520040512085
RNF168,165918,0.014,0.598887085914612
NAP1L2,4674,0.003,0.598997592926025
CORO2A,7464,0.004,0.599013209342957
GLS2,27165,0.005,0.599342823028564
ANKRD20A4-ANKRD20A20P,0,0.018,0.599409937858582
IPCEF1,26034,0.001,0.599418163299561
ABTB1,80325,0.003,0.599443137645721
AGO1,0,0.024,0.59950453042984
06-Mar,0,0.001,0.600590109825134
HCN1,348980,0.005,0.600698709487915
GNL1,2794,0.007,0.600822627544403
FRAT2,23401,0.02,0.601041316986084
TMCC2,9911,0.019,0.601255834102631
ZMYND8,23613,0.007,0.601321578025818
TEX29,0,0.006,0.601429641246796
LINC01260,0,0.004,0.601863026618958
FER1L4,80307,0.02,0.602093279361725
HEXIM1,10614,0.004,0.602115392684937
CLEC16A,23274,0.021,0.602303087711334
02-Mar,0,0.002,0.602327942848206
FANCI,55215,0.017,0.602689146995544
THEMIS,387357,0.006,0.603354871273041
PCSK1,5122,0.013,0.603360891342163
DPP8,54878,0.002,0.60362833738327
ZDHHC2,51201,0.024,0.603777170181274
TAF4B,6875,0.011,0.604073524475098
EIF5,1983,0.006,0.604200959205627
SLC25A37,51312,0.019,0.60428112745285
GLRX2,51022,0.014,0.604998767375946
TBC1D4,9882,0.007,0.605299770832062
MSTO2P,0,0.002,0.605910241603851
CISD2,493856,0.001,0.60685670375824
KBTBD12,0,0.026,0.60719496011734
KCMF1,56888,0.006,0.607537925243378
NOVA1,4857,0.002,0.607730031013489
CDK14,0,0.011,0.607876837253571
CAMK2G,818,0.005,0.607977747917175
CACNG8,59283,0.003,0.608572244644165
ACTN4,81,0.002,0.608591079711914
LIMK1,3984,0.01,0.609464645385742
TMEM229B,0,0.021,0.609658777713776
IL1RAP,3556,0.011,0.610031604766846
HECA,51696,0.007,0.610092401504517
OIP5-AS1,729082,0.003,0.610201895236969
ACYP2,98,0.012,0.610670745372772
BICDL2,0,0.002,0.610714495182037
ABCG4,64137,0.008,0.611048698425293
NAP1L1,4673,0.006,0.611187398433685
PLEKHM2,23207,0.004,0.61153382062912
RET,5979,0.008,0.611551582813263
UGP2,7360,0.018,0.612056791782379
FAM206A,0,0.001,0.612071633338928
SLC39A13,91252,0.008,0.612128436565399
EML2,24139,0.003,0.612327098846436
RRS1,23212,0.005,0.61293751001358
MIR29B2CHG,0,0.012,0.613130927085876
FIZ1,84922,0.001,0.613138258457184
BCAT1,586,0.008,0.613243222236633
TNIP1,10318,0.021,0.613666594028473
HNRNPUL2,221092,0.004,0.613769710063934
ACAN,176,0.02,0.614991247653961
PPM1H,57460,0.002,0.615169703960419
MAP1LC3B,81631,0.014,0.615435242652893
MYC,4609,0.009,0.615643799304962
LIN28B,389421,0.007,0.615879118442535
OSBPL6,114880,0.006,0.615949153900146
MTDH,92140,0.006,0.61634749174118
TCOF1,6949,0.002,0.616402804851532
SORCS1,114815,0.025,0.616415023803711
SPHK2,56848,0.022,0.616855323314667
CDS1,1040,0.005,0.616950452327728
LURAP1L,286343,0.002,0.617017209529877
ADRA1D,146,0.007,0.617057144641876
ESRRG,2104,0.019,0.618671536445618
STEAP2,261729,0.004,0.618994414806366
FGF7,2252,0.021,0.619241654872894
SNAP25,6616,0.003,0.619348466396332
LOC100507507,0,0.002,0.619690537452698
FRAT1,10023,0.01,0.619690775871277
LTB,4050,0.002,0.619900405406952
LINC01296,0,0.002,0.620032370090485
SBNO1,55206,0.001,0.620057761669159
GPCPD1,0,0.006,0.62018758058548
WFDC2,10406,0.006,0.620524764060974
C2orf27A,29798,0.002,0.620577931404114
FGF7P3,0,0.008,0.620685875415802
BRAF,673,0.031,0.620809555053711
ADAM22,53616,0.002,0.62132602930069
CACNA2D2,9254,0.007,0.621469259262085
ADO,84890,0.004,0.62165629863739
ANKS6,203286,0.005,0.621829330921173
RELT,84957,0.016,0.621961355209351
CIDEA,1149,0.015,0.622020065784454
NT5M,56953,0.007,0.622495591640472
OGDHL,55753,0.008,0.622814834117889
MYADML2,255275,0.004,0.623085677623749
HSPA4L,22824,0.029,0.623139977455139
TOR1AIP2,163590,0.01,0.623201131820679
KITLG,4254,0.005,0.623939573764801
IGFBP6,3489,0.001,0.624116003513336
NDRG3,57446,0.003,0.624346435070038
MTCL1,0,0.003,0.624900996685028
KCNC4,3749,0.019,0.625078558921814
ITPR1,3708,0.005,0.626382350921631
C17orf75,64149,0.006,0.626643896102905
ARMT1,0,0.002,0.626996636390686
FNDC4,64838,0.006,0.627091228961945
TIFA,92610,0.008,0.627162873744965
HES6,55502,0.007,0.627270221710205
ARL5B,221079,0.002,0.627585232257843
PDP2,57546,0.002,0.627804100513458
MICU3,0,0.001,0.628239095211029
SLCO4A1,28231,0.01,0.628360271453857
SNX21,90203,0.005,0.628599405288696
RPS6KB1,6198,0.002,0.628617882728577
KBTBD3,143879,0.006,0.62882274389267
SUSD5,26032,0.002,0.628952980041504
FMN1,342184,0.003,0.629095852375031
LYRM7,90624,0.001,0.62950074672699
CCNI,10983,0.003,0.629580438137054
AR,367,0.003,0.629628956317902
GAS2,2620,0.007,0.630180299282074
PCDH12,51294,0.007,0.63041490316391
C12orf49,79794,0.008,0.630610764026642
