gene,EntrezID,p_value,loading
IMPA1P1,0,0.074,0.384618103504181
KLHL21,9903,0.074,0.384652644395828
R3HDM2,22864,0.027,0.38476088643074
AFAP1L1,134265,0.04,0.385083764791489
JAKMIP2,9832,0.101,0.385096222162247
ALS2CL,259173,0.058,0.385227650403976
DPY19L2P2,349152,0.207,0.385407894849777
NCOR2,9612,0.273,0.385438203811646
CHRD,8646,0.044,0.385584801435471
DHRS7,51635,0.172,0.385626047849655
SIPA1L2,57568,0.014,0.385686308145523
DPP6,1804,0.218,0.385912626981735
CDON,50937,0.048,0.385956913232803
AP4E1,23431,0.055,0.386017382144928
SYNCRIP,10492,0.084,0.386101990938187
PAQR4,124222,0.061,0.386308193206787
DCTN2,10540,0.162,0.386439442634583
LINC01158,0,0.141,0.386673212051392
CREBZF,58487,0.267,0.386734753847122
HSPB2,3316,0.11,0.386758118867874
OR2L3,391192,0.031,0.386840432882309
DLD,1738,0.164,0.386965662240982
DCUN1D4,23142,0.064,0.387079030275345
SLC9A5,6553,0.087,0.387483358383179
ZNHIT6,54680,0.065,0.387587666511536
PHLDB2,90102,0.109,0.387633830308914
GUCD1,0,0.192,0.387722611427307
NCAPD2,9918,0.089,0.387798666954041
ASPRV1,151516,0.073,0.387851595878601
NEDD9,4739,0.107,0.387852221727371
SEMA6D,80031,0.153,0.387926191091537
ATP6V1G1,9550,0.042,0.388374924659729
OLR1,4973,0.183,0.388520985841751
CASP8AP2,9994,0.074,0.388563364744186
SMC1A,8243,0.006,0.388672083616257
GSDMB,55876,0.232,0.389135539531708
AFG3L2,10939,0.224,0.389329135417938
CCDC184,0,0.054,0.389551520347595
SLITRK3,22865,0.052,0.38956606388092
QRFPR,84109,0.114,0.38960474729538
SNCB,6620,0.019,0.38965180516243
HDHD2,84064,0.08,0.389672428369522
ANKS3,124401,0.188,0.389900594949722
SAP30,8819,0.121,0.390327513217926
CCDC57,284001,0.294,0.390438288450241
SLC29A1,2030,0.032,0.390441805124283
LPL,4023,0,0.390447199344635
LIN52,91750,0.158,0.390631318092346
MRPL34,64981,0.11,0.390858113765717
LINC01963,0,0.098,0.390908479690552
ATG5,9474,0.109,0.39096274971962
NAP1L5,266812,0.042,0.390976965427399
WASHC4,0,0.082,0.391019582748413
GIPC1,10755,0.056,0.391081541776657
PPFIA4,8497,0.343,0.391255736351013
TPRKB,51002,0.1,0.391257494688034
ACE,1636,0.008,0.391521066427231
SGK494,124923,0.279,0.391756802797318
MCM7,4176,0.097,0.391800612211227
JOSD1,9929,0.043,0.391973674297333
NUP54,53371,0.066,0.392039775848389
IL10RA,3587,0.047,0.392226934432983
EPHB2,2048,0.11,0.392404586076736
PRR22,163154,0.191,0.392507642507553
PACS2,23241,0.054,0.392793238162994
COL4A4,1286,0.067,0.392824023962021
CIAPIN1,57019,0.097,0.392834514379501
KPNA5,3841,0.227,0.392860293388367
SORBS3,10174,0.16,0.392873764038086
KDM7A,0,0.157,0.393061518669128
SMC2,10592,0.063,0.39310485124588
NET1,10276,0.015,0.393356502056122
BLMH,642,0.013,0.393431514501572
SEC23A,10484,0.033,0.393635928630829
PKD1P6-NPIPP1,0,0.093,0.393677860498428
SPACA6,0,0.049,0.393721073865891
MTHFD2,10797,0.078,0.393744945526123
CENPJ,55835,0.316,0.393988966941833
TOMM34,10953,0.021,0.394121646881104
PLAGL2,5326,0.278,0.394159257411957
JMJD1C,221037,0.231,0.394305855035782
KREMEN1,83999,0.274,0.394364655017853
SMIM12,0,0.125,0.394472002983093
FLRT2,23768,0.006,0.394538164138794
OTUD6B-AS1,0,0.021,0.394565850496292
TULP4,56995,0.034,0.394672751426697
AMMECR1,9949,0.212,0.394750684499741
SLC26A10,65012,0.033,0.394826352596283
KDM4C,23081,0.132,0.394876897335052
IQCE,23288,0.084,0.395145207643509
ZNF273,10793,0.142,0.3951555788517
SDHB,6390,0.042,0.395342320203781
CPPED1,55313,0.076,0.395365983247757
ZBBX,79740,0.096,0.395552694797516
IL17RA,23765,0.348,0.395634353160858
MYO5A,4644,0.024,0.395699560642242
DDX46,9879,0.195,0.395729750394821
KBTBD2,25948,0.163,0.395894825458527
LINC00672,0,0.005,0.395926982164383
RNLS,55328,0.089,0.395963579416275
LYPLA1,10434,0.029,0.395986646413803
AOC2,314,0.016,0.395990610122681
AATK,9625,0.012,0.396018713712692
BRWD3,254065,0.24,0.396085441112518
MCTS1,28985,0.329,0.396088689565659
YPEL3,83719,0.012,0.39620703458786
ERG,2078,0.043,0.396207690238953
ATP6V1B2,526,0.149,0.396391212940216
CIDECP,152302,0.03,0.396460056304932
CDH22,64405,0.009,0.396819353103638
ANAPC10,10393,0.159,0.396822363138199
LYSMD2,256586,0.051,0.396832257509232
FAM20A,54757,0.354,0.396902531385422
IDH3A,3419,0.062,0.396937221288681
C16orf45,89927,0.051,0.397227168083191
KLHL28,54813,0.016,0.397369563579559
JAKMIP3,282973,0.058,0.397521197795868
HYAL3,8372,0.043,0.397733509540558
KREMEN2,79412,0.044,0.397743374109268
WDR70,55100,0.015,0.397785007953644
C4orf3,401152,0.222,0.397801339626312
RACGAP1,0,0.019,0.397857189178467
GPR20,2843,0.185,0.398137778043747
NT5DC1,221294,0.083,0.398151963949203
USP6NL,9712,0.061,0.398356795310974
NR1D2,9975,0.133,0.398515403270721
DIS3,22894,0.212,0.398553013801575
GGA2,23062,0.29,0.39867901802063
SLC16A14,151473,0.004,0.398740857839584
WARS,7453,0.13,0.39874592423439
GTF3C3,9330,0.153,0.398752629756927
DOPEY2,9980,0.044,0.398827344179153
ZKSCAN4,387032,0.132,0.398919671773911
PKNOX2,63876,0.092,0.398960679769516
UBLCP1,134510,0.077,0.398999094963074
FSBP,0,0.189,0.39921498298645
PHF23,79142,0.222,0.399278372526169
SNX24,28966,0.149,0.399286210536957
SLC33A1,9197,0.167,0.399299770593643
TMEM60,85025,0.089,0.399397224187851
SLC15A4,121260,0.021,0.399484753608704
FAM13A,10144,0.091,0.399661064147949
CLVS2,134829,0.138,0.399667829275131
DCLRE1A,9937,0.024,0.399670988321304
TNFRSF25,8718,0.144,0.399729639291763
STARD13,90627,0.017,0.399965971708298
C2CD3,26005,0.129,0.400004208087921
FAM86HP,0,0.024,0.400118470191956
PKM,0,0.031,0.400713205337524
CITED2,10370,0.022,0.401019066572189
RALY,22913,0.06,0.401025831699371
GIGYF2,26058,0.049,0.401151031255722
FOXN3,1112,0.134,0.401340782642365
USPL1,10208,0.011,0.401365280151367
C3orf35,339883,0.038,0.401443243026733
DSTYK,25778,0.18,0.401487827301025
DPY19L2P4,442523,0.034,0.401846051216125
RASD2,23551,0.094,0.401939421892166
PTPN5,84867,0.066,0.402041107416153
ASPHD1,253982,0.037,0.402233809232712
CDYL,9425,0.121,0.402379602193832
VMP1,0,0.024,0.402548938989639
MORC2-AS1,150291,0.093,0.402639746665955
CNOT6L,246175,0.12,0.40273717045784
CDKN2A,1029,0.001,0.402858644723892
CYCS,54205,0.15,0.402865439653397
GTF3A,2971,0.091,0.403102040290833
REP15,387849,0.032,0.403251230716705
NOP2,4839,0.044,0.40329110622406
ZC3H18,124245,0.206,0.403308302164078
SPATA6,54558,0.056,0.403308719396591
PDCL3,79031,0.04,0.403442323207855
RGPD4,285190,0.245,0.403464436531067
TIAM2,26230,0.046,0.403533905744553
TAS2R5,54429,0.233,0.403747498989105
FZD6,8323,0.1,0.403921693563461
DHRS11,79154,0.003,0.403974741697311
MLYCD,23417,0.073,0.404384851455688
RAI1,10743,0.139,0.404689788818359
CHCHD4,131474,0.198,0.404753446578979
PDZD8,118987,0.171,0.404949337244034
SPAG9,9043,0.012,0.404977977275848
B4GALT4,8702,0.057,0.405096858739853
FAM210B,0,0.316,0.405319720506668
ILK,3611,0.071,0.405384361743927
NCDN,23154,0.052,0.405433028936386
CUX1,1523,0.209,0.405509948730469
FAM189B,0,0.137,0.405559837818146
ZNF165,7718,0.046,0.405579835176468
NIF3L1,60491,0.005,0.40586256980896
RAB11B,9230,0.138,0.405991613864899
FEZ1,9638,0.06,0.406243592500687
CD274,29126,0.039,0.406310349702835
PPM1L,151742,0.003,0.406441360712051
RNF144B,255488,0.027,0.406540751457214
TRPT1,83707,0.09,0.406844824552536
CWC25,0,0.01,0.406880348920822
ZNF718,255403,0.262,0.407159417867661
SLU7,10569,0.018,0.407336950302124
LOC100506388,0,0.102,0.407395273447037
DCP1A,55802,0.024,0.40756955742836
TSPYL5,23270,0.065,0.407600432634354
FSTL1,11167,0.192,0.407753884792328
PKD2,5311,0.077,0.407910138368607
ZNF398,57541,0.107,0.408449530601501
G0S2,50486,0.188,0.408592700958252
HERPUD1,9709,0.016,0.409050703048706
KRIT1,889,0.094,0.409065246582031
ENDOD1,23052,0.046,0.409093648195267
HSBP1L1,0,0.122,0.409193903207779
ING1,3621,0.037,0.409359306097031
CAPN15,0,0.285,0.409413009881973
