ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
insula R,0.5330153183444012,0.5318236591618101,0.704654159666222,0.7477124945951811,0.5216890410377583,0.29829329911031044,0.5561979953192805
isthmuscingulate L,0.5692332488096916,0.6059791817134119,0.7588904341389847,0.7717166216920873,0.5318699595368797,0.3395683217937924,0.5962096279474746
isthmuscingulate R,0.59540252439478,0.56754635224747,0.7378279544587798,0.7616819222335138,0.540196082907108,0.34407766173914134,0.5911220829967988
lateraloccipital L,0.6030855362490619,0.6198385645180222,0.7053484505543849,0.7355072350420077,0.6628990979531545,0.3254941143268228,0.608695499773909
lateraloccipital R,0.5995065295544402,0.6118073707241233,0.7161328399088791,0.7306047894603245,0.641911218379679,0.3276368092437034,0.6045999262118582
lateralorbitofrontal L,0.4019166189132303,0.5738442859270052,0.6314652924594799,0.7722738207480304,0.5297146252825525,0.36676503310943376,0.5459966127399554
lateralorbitofrontal R,0.4555208264365578,0.4799203623302628,0.5343879568239371,0.7177656755390556,0.5416016365902923,0.3465752994315421,0.5126286261919413
lingual L,0.53983049504545,0.6144209336453212,0.7286057305307023,0.7448586539052989,0.558766249367035,0.32792257448484485,0.5857341061631086
lingual R,0.5475977188800651,0.590282990738257,0.7348897795024094,0.7437816766254578,0.5485728226004553,0.3310131628881811,0.582689691872471
medialorbitofrontal L,0.3546470824855081,0.5225705114482517,0.5188486953924804,0.7387073481210911,0.5259291409095581,0.35998485204530994,0.5034479384003666
medialorbitofrontal R,0.4139237478359672,0.4986126758747459,0.5068954961527276,0.7213916142537906,0.521243182047433,0.3482084684985574,0.5017125307772037
middletemporal L,0.5603002360240461,0.6866281015291651,0.7324100270494305,0.8040944842266176,0.49467928008326956,0.3627118458096817,0.6068039957870351
middletemporal R,0.5681503136036474,0.5699455414413058,0.7486558708482728,0.7915916420101737,0.5418481688887943,0.34461821519930314,0.5941349586652497
paracentral L,0.5799553858344718,0.4763998101872462,0.7628811110336093,0.7174916161958412,0.6004407074012553,0.34779890427122934,0.5808279224872755
paracentral R,0.5778154337378647,0.4633568611479757,0.7512081896334205,0.7061339121760147,0.5939058576331828,0.35118663307223275,0.5739344812334485
parahippocampal L,0.4639809980563115,0.6501174658693084,0.7175881818861922,0.7216817538751877,0.3944575739825842,0.31549285739600497,0.5438864718442648
parahippocampal R,0.4840589381348228,0.5750930369285854,0.6704674259412131,0.7090160113043477,0.44137159879635857,0.2999664428901162,0.5299955756659073
parsopercularis L,0.5333278664799522,0.6432788488568248,0.7324570170706061,0.7398015492057954,0.5778183898507265,0.3904590497679865,0.6028571202053152
parsopercularis R,0.533482554797978,0.5696941447028854,0.6935405534782207,0.7387203034187976,0.599647378233706,0.3856551547378533,0.5867900148949068
parsorbitalis L,0.4483171028848156,0.5927608084197705,0.6784918965418778,0.7461821711783936,0.591820288809638,0.4237945832787905,0.580227808518881
parsorbitalis R,0.4621855149849029,0.523483598637914,0.5773980318565538,0.6996195288442513,0.6635837970399053,0.4061948028381398,0.5554108790336112
parstriangularis L,0.5066699949428286,0.6188447201074054,0.7022422707768641,0.7486247979297952,0.5817121872525115,0.40840426910373495,0.5944163733521899
parstriangularis R,0.49481922606165696,0.5405623206026229,0.6314214706027318,0.7226730286891574,0.6596575910724946,0.4118616508828078,0.5768325479852452
pericalcarine L,0.5630752432922341,0.6232923258200633,0.7491514441419562,0.743078177167486,0.6074323723518044,0.3411966161846605,0.6045376964930341
pericalcarine R,0.5410024804215356,0.593584156748171,0.7489704479185745,0.7431015968575774,0.5878231836368146,0.33213773827867016,0.5911032673102239
postcentral L,0.6276600081910269,0.5766936005846663,0.7806459421466466,0.738776738326192,0.6163358817954151,0.3564360016892699,0.6160913621222028
postcentral R,0.573638301293584,0.5322103832552798,0.7487019164757054,0.7226561624541838,0.6340369516883173,0.3503654996683702,0.5936015358059067
posteriorcingulate L,0.5594881777225292,0.48742935011787397,0.6826270216232518,0.7131890562150525,0.546110181381736,0.34671634764497006,0.5559266891175689
posteriorcingulate R,0.5469238602086965,0.48658213459467503,0.6805410587821477,0.6963050589037316,0.5302418475085986,0.3312394683293863,0.5453055713878726
precentral L,0.6031974153089655,0.5619302594439547,0.774498526037165,0.7325382281526684,0.5976582329441025,0.356128411835703,0.6043251789537598
precentral R,0.5775505937238536,0.525011406992493,0.7412546040130695,0.7229717756519403,0.6156783389799516,0.3597889521896174,0.5903759452584876
precuneus L,0.5956630342633153,0.6156041428546654,0.7517598332064909,0.7651590289404113,0.6195236465585323,0.3579791663569136,0.6176148086967214
precuneus R,0.5473769776967301,0.5461510449423486,0.7486368238499628,0.753984498275803,0.6373542275335882,0.36247749716624666,0.5993301782441133
rostralanteriorcingulate L,0.4181391355648887,0.553366942372878,0.5349682405362275,0.7448193707096558,0.5614000905572041,0.37984605899934676,0.5320899731233669
rostralanteriorcingulate R,0.4303145952807627,0.5226510833124514,0.5337987201400349,0.7245743898277508,0.5525782809479157,0.37148399458269993,0.5225668440152692
rostralmiddlefrontal L,0.5106480709963788,0.6073557779319626,0.6912605086081787,0.7340187842489653,0.6030770688109863,0.4155311434348509,0.5936485590052204
rostralmiddlefrontal R,0.4924583981886488,0.5814299641551144,0.6602583506696255,0.7074088990150568,0.650754829244706,0.41813970610862017,0.5850750245636286
superiorfrontal L,0.5809175672718468,0.5730823989342828,0.703092342114393,0.7042656121997626,0.6007931787625037,0.39082684404218654,0.5921629905541625
superiorfrontal R,0.5673557114143669,0.5714778241482732,0.7074974674153954,0.6986760274037485,0.6007436092835808,0.3921336214796833,0.589647376857508
superiorparietal L,0.6434130238061953,0.637710844269026,0.744429714385738,0.7485423578034165,0.6677753351320662,0.3544513500935288,0.6327204375816619
superiorparietal R,0.5819013475013959,0.5923467448656377,0.7371296199544568,0.7368359950775113,0.675328011024898,0.3591750620098726,0.6137861300722953
superiortemporal L,0.5431909965778903,0.6656997876447268,0.7692970046932694,0.8019208871300126,0.5133980677538053,0.3533499988329601,0.6078094571054441
superiortemporal R,0.5465350983614035,0.5423197464591039,0.7513948930125435,0.7651338558455155,0.5460981474347081,0.3210981630508553,0.5787633173606882
supramarginal L,0.662787175706385,0.6494680616430446,0.7294957451168329,0.7585902299211225,0.5995239016412397,0.3466925962411203,0.6244262850449576
supramarginal R,0.56736539680383,0.5630733481291547,0.7287755082594034,0.7492291753903823,0.5966226558275352,0.34275867034007296,0.5913041257917299
temporalpole L,0.40864796985195695,0.5687516481727164,0.6352912869018886,0.7589817237389879,0.42956711292730165,0.3263227485736246,0.521260415027746
temporalpole R,0.41610221880955967,0.42506237071910546,0.5786726548384017,0.6764063443070006,0.42464773969401237,0.31118063179090916,0.4720119933598315
transversetemporal L,0.5145731251338956,0.6423427473694624,0.7619305687851715,0.7705158757447318,0.4995128758605743,0.3061271516763493,0.5825003907616976
transversetemporal R,0.5517977898266626,0.5122890576404067,0.7431803210879264,0.7188855641212132,0.5212294107053006,0.2980165865113467,0.5575664549821426
