name,x.mni,y.mni,z.mni,lobe,hemi,index,class,name2,,region
rLat_Fis.ant.Horizont,41.415,30.224,2.684,Frontal,R,113,S,Lat_Fis.ant.Horizont,,Lat Fis-ant-Horizont
lLat_Fis.ant.Vertical,-43.715,21.733,8.441,Frontal,L,40,S,Lat_Fis.ant.Vertical,,Lat Fis-ant-Vertical
rLat_Fis.ant.Vertical,45.448,21.327,9.036,Frontal,R,114,S,Lat_Fis.ant.Vertical,,Lat Fis-ant-Vertical
lLat_Fis.post,-39.745,-34.67,18.317,Insula,L,41,S,Lat_Fis.post,,Lat Fis-post
rLat_Fis.post,38.608,-28.952,19.349,Insula,R,115,S,Lat_Fis.post,,Lat Fis-post
lPole_occipital,-17.721,-97.276,-5.706,Occipital,L,42,G,Pole_occipital,,Pole occipital
rPole_occipital,17.394,-94.985,-3.658,Occipital,R,116,G,Pole_occipital,,Pole occipital
lPole_temporal,-34.89,2.935,-37.098,Temporal,L,43,G,Pole_temporal,,Pole temporal
rPole_temporal,38.295,5.021,-36.584,Temporal,R,117,G,Pole_temporal,,Pole temporal
lS_calcarine,-17.114,-66.698,4.784,Occipital,L,44,S,S_calcarine,,S calcarine
rS_calcarine,18.88,-62.432,5.357,Occipital,R,118,S,S_calcarine,,S calcarine
lS_central,-36.398,-21.981,46.486,Frontal,L,45,S,S_central,,S central
rS_central,35.89,-19.96,46.41,Frontal,R,119,S,S_central,,S central
lS_cingul.Marginalis,-15.26,-37.588,45.383,Limbic,L,46,S,S_cingul.Marginalis,,S cingul-Marginalis
rS_cingul.Marginalis,14.303,-37.59,45.995,Limbic,R,120,S,S_cingul.Marginalis,,S cingul-Marginalis
lS_circular_insula_ant,-27.738,22.278,-9.516,Insula,L,47,S,S_circular_insula_ant,,S circular insula ant
rS_circular_insula_ant,29.668,23.312,-7.027,Insula,R,121,S,S_circular_insula_ant,,S circular insula ant
lS_circular_insula_inf,-39.502,-13.872,-7.846,Insula,L,48,S,S_circular_insula_inf,,S circular insula inf
rS_circular_insula_inf,41.392,-12.95,-7.87,Insula,R,122,S,S_circular_insula_inf,,S circular insula inf
lS_circular_insula_sup,-34.484,5.133,11.951,Insula,L,49,S,S_circular_insula_sup,,S circular insula sup
rS_circular_insula_sup,34.968,5.708,11.641,Insula,R,123,S,S_circular_insula_sup,,S circular insula sup
lS_collat_transv_ant,-40.799,-21.096,-23.879,Temporal,L,50,S,S_collat_transv_ant,,S collat transv ant
rS_collat_transv_ant,41.753,-20.346,-24.345,Temporal,R,124,S,S_collat_transv_ant,,S collat transv ant
lS_collat_transv_post,-24.54,-78.901,-7.608,Occipital,L,51,S,S_collat_transv_post,,S collat transv post
rS_collat_transv_post,25.687,-78.075,-8.216,Occipital,R,125,S,S_collat_transv_post,,S collat transv post
lS_front_inf,-38.112,22.769,21.882,Frontal,L,52,S,S_front_inf,,S front inf
rS_front_inf,38.7,23.248,20.601,Frontal,R,126,S,S_front_inf,,S front inf
lS_front_middle,-25.968,43.597,18.904,Frontal,L,53,S,S_front_middle,,S front middle
rS_front_middle,28.296,40.93,22.288,Frontal,R,127,S,S_front_middle,,S front middle
lS_front_sup,-22.711,17.928,43.159,Frontal,L,54,S,S_front_sup,,S front sup
rS_front_sup,22.69,18.148,44.827,Frontal,R,128,S,S_front_sup,,S front sup
lS_interm_prim.Jensen,-49.911,-52.26,30.213,Parietal,L,55,S,S_interm_prim.Jensen,,S interm prim-Jensen
rS_interm_prim.Jensen,47.946,-44.615,35.704,Parietal,R,129,S,S_interm_prim.Jensen,,S interm prim-Jensen
lS_intrapariet_and_P_trans,-28.528,-58.348,38.653,Parietal,L,56,S,S_intrapariet_and_P_trans,,S intrapariet and P trans
rS_intrapariet_and_P_trans,30.463,-56.032,42.846,Parietal,R,130,S,S_intrapariet_and_P_trans,,S intrapariet and P trans
lS_oc_middle_and_Lunatus,-30.314,-85.287,3.81,Occipital,L,57,S,S_oc_middle_and_Lunatus,,S oc-temp lat
rS_oc_middle_and_Lunatus,32.802,-82.079,6.453,Occipital,R,131,S,S_oc_middle_and_Lunatus,,S oc-temp lat
lS_oc_sup_and_transversal,-26.886,-80.465,17.196,Occipital,L,58,S,S_oc_sup_and_transversal,,S oc-temp med and Lingual
rS_oc_sup_and_transversal,27.821,-77.321,20.078,Occipital,R,132,S,S_oc_sup_and_transversal,,S oc-temp med and Lingual
lS_oc.temp_lat,-41.84,-49.887,-14.185,Occipital,L,60,S,S_oc.temp_lat,,S oc middle and Lunatus
rS_oc.temp_lat,43.127,-50.709,-13.523,Occipital,R,134,S,S_oc.temp_lat,,S oc middle and Lunatus
lS_oc.temp_med_and_Lingual,-30.414,-48.15,-9.37,Occipital,L,61,S,S_oc.temp_med_and_Lingual,,S oc sup and transversal
rS_oc.temp_med_and_Lingual,31.511,-46.227,-10.155,Occipital,R,135,S,S_oc.temp_med_and_Lingual,,S oc sup and transversal
lS_occipital_ant,-41.7,-68.154,0.278,Occipital,L,59,S,S_occipital_ant,,S occipital ant
rS_occipital_ant,42.996,-65.226,4.085,Occipital,R,133,S,S_occipital_ant,,S occipital ant
lS_orbital_lateral,-39.46,40.593,-2.29,Frontal,L,62,S,S_orbital_lateral,,S orbital-H Shaped
rS_orbital_lateral,41.491,39.606,-1.682,Frontal,R,136,S,S_orbital_lateral,,S orbital-H Shaped
lS_orbital_med.olfact,-12.768,24.56,-17.598,Frontal,L,63,S,S_orbital_med.olfact,,S orbital lateral
rS_orbital_med.olfact,13.776,22.903,-16.664,Frontal,R,137,S,S_orbital_med.olfact,,S orbital lateral
lS_orbital.H_Shaped,-24.206,34.927,-11.657,Frontal,L,64,S,S_orbital.H_Shaped,,S orbital med-olfact
rS_orbital.H_Shaped,24.293,35.417,-11.756,Frontal,R,138,S,S_orbital.H_Shaped,,S orbital med-olfact
lS_parieto_occipital,-16.599,-67.45,22.655,Parietal,L,65,S,S_parieto_occipital,,S parieto occipital
rS_parieto_occipital,17.959,-65.668,24.804,Parietal,R,139,S,S_parieto_occipital,,S parieto occipital
lS_pericallosal,-6.016,-10.328,25.728,Limbic,L,66,S,S_pericallosal,,S pericallosal
rS_pericallosal,7.329,-8.271,25.71,Limbic,R,140,S,S_pericallosal,,S pericallosal
lS_postcentral,-36.815,-36.102,41.146,Parietal,L,67,S,S_postcentral,,S postcentral
rS_postcentral,36.512,-34.916,42.321,Parietal,R,141,S,S_postcentral,,S postcentral
lS_precentral.inf.part,-43.352,2.957,27.034,Frontal,L,68,S,S_precentral.inf.part,,S precentral-inf-part
rS_precentral.inf.part,42.614,4.307,27.246,Frontal,R,142,S,S_precentral.inf.part,,S precentral-inf-part
lS_precentral.sup.part,-26.797,-9.499,50.401,Frontal,L,69,S,S_precentral.sup.part,,S precentral-sup-part
rS_precentral.sup.part,26.621,-8.68,51.56,Frontal,R,143,S,S_precentral.sup.part,,S precentral-sup-part
lS_suborbital,-8.559,38.452,-11.471,Frontal,L,70,S,S_suborbital,,S suborbital
rS_suborbital,8.781,42.174,-14.271,Frontal,R,144,S,S_suborbital,,S suborbital
lS_subparietal,-10.867,-50.05,34.979,Parietal,L,71,S,S_subparietal,,S subparietal
rS_subparietal,10.497,-50.187,36.502,Parietal,R,145,S,S_subparietal,,S subparietal
lS_temporal_inf,-52.545,-38.438,-16.527,Temporal,L,72,S,S_temporal_inf,,S temporal inf
rS_temporal_inf,53.027,-39.85,-15.285,Temporal,R,146,S,S_temporal_inf,,S temporal inf
lS_temporal_sup,-48.624,-47.475,5.828,Temporal,L,73,S,S_temporal_sup,,S temporal sup
rS_temporal_sup,48.138,-43.634,8.103,Temporal,R,147,S,S_temporal_sup,,S temporal sup
lS_temporal_transverse,-50.606,-25.294,2.119,Temporal,L,74,S,S_temporal_transverse,,S temporal transverse
rS_temporal_transverse,51.842,-22.388,4.422,Temporal,R,148,S,S_temporal_transverse,,S temporal transverse
