,Acc Autocorr_BROADBAND,Acc Crosscorr MZ_BROADBAND,Acc Crosscorr DZ_BROADBAND,Acc Autocorr_DELTA,Acc Crosscorr MZ_DELTA,Acc Crosscorr DZ_DELTA,Acc Autocorr_THETA,Acc Crosscorr MZ_THETA,Acc Crosscorr DZ_THETA,Acc Autocorr_ALPHA,Acc Crosscorr MZ_ALPHA,Acc Crosscorr DZ_ALPHA,Acc Autocorr_BETA,Acc Crosscorr MZ_BETA,Acc Crosscorr DZ_BETA,Acc Autocorr_GAMMA,Acc Crosscorr MZ_GAMMA,Acc Crosscorr DZ_GAMMA,Acc Autocorr_HIGH GAMMA,Acc Crosscorr MZ_HIGH GAMMA,Acc Crosscorr DZ_HIGH GAMMA
1994,0.9125,0.6764705882352942,0.125,0.725,0.3823529411764705,0.1666666666666666,0.825,0.5588235294117647,0.0416666666666666,0.875,0.5294117647058824,0.0833333333333333,0.8625,0.5294117647058824,0.0416666666666666,0.9125,0.5882352941176471,0.0833333333333333,0.9125,0.3235294117647059,0.0
1995,0.925,0.6470588235294118,0.125,0.75,0.4411764705882353,0.2083333333333333,0.8125,0.4705882352941176,0.0416666666666666,0.8875,0.5294117647058824,0.0416666666666666,0.875,0.5882352941176471,0.0416666666666666,0.9125,0.6176470588235294,0.0833333333333333,0.9125,0.3235294117647059,0.0416666666666666
1996,0.9,0.6470588235294118,0.125,0.725,0.4117647058823529,0.125,0.8625,0.5,0.0416666666666666,0.875,0.5588235294117647,0.0416666666666666,0.8875,0.5588235294117647,0.0416666666666666,0.9,0.5294117647058824,0.0833333333333333,0.9125,0.2941176470588235,0.0416666666666666
1997,0.9125,0.6470588235294118,0.125,0.725,0.3235294117647059,0.1666666666666666,0.8375,0.6176470588235294,0.0416666666666666,0.8875,0.5588235294117647,0.0416666666666666,0.875,0.5294117647058824,0.0833333333333333,0.9125,0.5,0.0833333333333333,0.9,0.2941176470588235,0.0416666666666666
1998,0.9,0.5882352941176471,0.125,0.7375,0.4705882352941176,0.1666666666666666,0.825,0.5,0.125,0.9125,0.5294117647058824,0.0416666666666666,0.875,0.5294117647058824,0.0416666666666666,0.9,0.5882352941176471,0.0833333333333333,0.9,0.3529411764705882,0.0416666666666666
1999,0.9,0.6176470588235294,0.125,0.7625,0.4411764705882353,0.125,0.8125,0.5,0.0,0.8875,0.5,0.0416666666666666,0.875,0.4705882352941176,0.0833333333333333,0.9,0.5882352941176471,0.0833333333333333,0.925,0.3235294117647059,0.0416666666666666
2000,0.9125,0.6176470588235294,0.2083333333333333,0.7875,0.3823529411764705,0.1666666666666666,0.8625,0.5294117647058824,0.1666666666666666,0.875,0.6470588235294118,0.0416666666666666,0.8625,0.5882352941176471,0.1666666666666666,0.9375,0.4117647058823529,0.0833333333333333,0.9375,0.3823529411764705,0.1666666666666666
2001,0.9125,0.6176470588235294,0.2083333333333333,0.8125,0.3235294117647059,0.1666666666666666,0.8875,0.5588235294117647,0.1666666666666666,0.875,0.6470588235294118,0.0416666666666666,0.875,0.5882352941176471,0.1666666666666666,0.95,0.5588235294117647,0.1666666666666666,0.9375,0.3529411764705882,0.1666666666666666
2002,0.9,0.6470588235294118,0.2083333333333333,0.7875,0.3823529411764705,0.125,0.85,0.5,0.1666666666666666,0.875,0.6470588235294118,0.0416666666666666,0.85,0.5588235294117647,0.1666666666666666,0.9375,0.4705882352941176,0.1666666666666666,0.9375,0.4117647058823529,0.1666666666666666
2003,0.9,0.6470588235294118,0.2083333333333333,0.7625,0.3235294117647059,0.125,0.875,0.5,0.0833333333333333,0.8875,0.6764705882352942,0.0416666666666666,0.85,0.5882352941176471,0.1666666666666666,0.9375,0.4411764705882353,0.1666666666666666,0.925,0.4117647058823529,0.1666666666666666
2004,0.9125,0.7058823529411765,0.25,0.7875,0.3235294117647059,0.1666666666666666,0.85,0.5,0.1666666666666666,0.9375,0.6470588235294118,0.0416666666666666,0.8625,0.6470588235294118,0.1666666666666666,0.9625,0.5,0.2083333333333333,0.9375,0.4117647058823529,0.2083333333333333
2005,0.9,0.6764705882352942,0.2083333333333333,0.7625,0.2941176470588235,0.1666666666666666,0.8875,0.5294117647058824,0.2083333333333333,0.9,0.6176470588235294,0.0416666666666666,0.8625,0.7058823529411765,0.1666666666666666,0.9375,0.4411764705882353,0.2083333333333333,0.925,0.3823529411764705,0.1666666666666666
2006,0.9125,0.6470588235294118,0.2083333333333333,0.75,0.3823529411764705,0.1666666666666666,0.85,0.4705882352941176,0.1666666666666666,0.875,0.6470588235294118,0.0416666666666666,0.875,0.6176470588235294,0.1666666666666666,0.95,0.5,0.1666666666666666,0.925,0.4117647058823529,0.1666666666666666
2007,0.9125,0.7058823529411765,0.25,0.7625,0.3529411764705882,0.1666666666666666,0.85,0.5,0.1666666666666666,0.8875,0.6470588235294118,0.0416666666666666,0.8625,0.5588235294117647,0.1666666666666666,0.9375,0.4705882352941176,0.1666666666666666,0.925,0.3823529411764705,0.1666666666666666
2008,0.9,0.6176470588235294,0.25,0.7625,0.4117647058823529,0.1666666666666666,0.8625,0.5588235294117647,0.1666666666666666,0.8875,0.6176470588235294,0.0416666666666666,0.875,0.5588235294117647,0.1666666666666666,0.9375,0.4117647058823529,0.2083333333333333,0.9375,0.4411764705882353,0.1666666666666666
2009,0.9,0.6470588235294118,0.2083333333333333,0.7625,0.2941176470588235,0.2083333333333333,0.9125,0.5588235294117647,0.1666666666666666,0.8875,0.6470588235294118,0.0416666666666666,0.875,0.6176470588235294,0.1666666666666666,0.9625,0.5294117647058824,0.2083333333333333,0.9375,0.4411764705882353,0.1666666666666666
2010,0.9125,0.6176470588235294,0.2083333333333333,0.775,0.3529411764705882,0.125,0.8625,0.5,0.1666666666666666,0.925,0.7058823529411765,0.0416666666666666,0.875,0.6470588235294118,0.1666666666666666,0.95,0.5,0.2083333333333333,0.925,0.3823529411764705,0.1666666666666666
2011,0.9,0.6470588235294118,0.2083333333333333,0.7625,0.3235294117647059,0.125,0.8625,0.5294117647058824,0.1666666666666666,0.875,0.6176470588235294,0.0416666666666666,0.85,0.6176470588235294,0.1666666666666666,0.9375,0.5,0.0833333333333333,0.9375,0.4411764705882353,0.125
2012,0.9125,0.6470588235294118,0.1666666666666666,0.775,0.3529411764705882,0.125,0.85,0.5882352941176471,0.1666666666666666,0.9,0.6470588235294118,0.0416666666666666,0.85,0.6470588235294118,0.1666666666666666,0.9375,0.4411764705882353,0.1666666666666666,0.925,0.3823529411764705,0.1666666666666666
2013,0.9125,0.6764705882352942,0.2916666666666667,0.8,0.3529411764705882,0.125,0.85,0.5588235294117647,0.1666666666666666,0.875,0.6176470588235294,0.0416666666666666,0.85,0.6470588235294118,0.1666666666666666,0.9375,0.4117647058823529,0.0833333333333333,0.9375,0.4411764705882353,0.1666666666666666
2014,0.9125,0.7058823529411765,0.2083333333333333,0.7875,0.3235294117647059,0.125,0.85,0.5294117647058824,0.1666666666666666,0.9,0.6470588235294118,0.0416666666666666,0.85,0.5882352941176471,0.1666666666666666,0.9375,0.4705882352941176,0.1666666666666666,0.9375,0.4411764705882353,0.1666666666666666
2015,0.9,0.7058823529411765,0.1666666666666666,0.7875,0.2941176470588235,0.125,0.8875,0.5294117647058824,0.2083333333333333,0.9,0.7058823529411765,0.0416666666666666,0.9,0.6176470588235294,0.1666666666666666,0.9375,0.4117647058823529,0.2083333333333333,0.9375,0.4411764705882353,0.2083333333333333
2016,0.9,0.6176470588235294,0.2083333333333333,0.7375,0.3235294117647059,0.125,0.85,0.5588235294117647,0.0833333333333333,0.875,0.7058823529411765,0.0416666666666666,0.8625,0.5882352941176471,0.1666666666666666,0.95,0.4117647058823529,0.1666666666666666,0.9375,0.4411764705882353,0.2083333333333333
2017,0.9,0.6176470588235294,0.2083333333333333,0.7625,0.3823529411764705,0.125,0.875,0.5,0.1666666666666666,0.8875,0.6764705882352942,0.0416666666666666,0.8875,0.5882352941176471,0.1666666666666666,0.9375,0.5294117647058824,0.2083333333333333,0.9375,0.3823529411764705,0.1666666666666666
2018,0.9,0.6176470588235294,0.1666666666666666,0.75,0.3235294117647059,0.2083333333333333,0.8625,0.4705882352941176,0.1666666666666666,0.875,0.6470588235294118,0.0416666666666666,0.8625,0.6176470588235294,0.1666666666666666,0.9375,0.4705882352941176,0.1666666666666666,0.925,0.3529411764705882,0.1666666666666666
2019,0.9,0.6764705882352942,0.1666666666666666,0.7625,0.3235294117647059,0.1666666666666666,0.8625,0.5294117647058824,0.1666666666666666,0.875,0.6764705882352942,0.0416666666666666,0.8625,0.5882352941176471,0.1666666666666666,0.9375,0.4705882352941176,0.1666666666666666,0.95,0.4117647058823529,0.1666666666666666
2020,0.925,0.6764705882352942,0.2083333333333333,0.7625,0.2941176470588235,0.0833333333333333,0.8875,0.5588235294117647,0.1666666666666666,0.875,0.6764705882352942,0.0416666666666666,0.875,0.5882352941176471,0.1666666666666666,0.95,0.5294117647058824,0.2083333333333333,0.925,0.3823529411764705,0.1666666666666666
2021,0.9375,0.7352941176470589,0.2083333333333333,0.75,0.2941176470588235,0.0833333333333333,0.875,0.5294117647058824,0.2083333333333333,0.8875,0.6470588235294118,0.0416666666666666,0.875,0.6470588235294118,0.1666666666666666,0.95,0.4411764705882353,0.1666666666666666,0.9375,0.4117647058823529,0.2083333333333333
2022,0.9,0.6764705882352942,0.2083333333333333,0.75,0.3235294117647059,0.1666666666666666,0.8625,0.4705882352941176,0.1666666666666666,0.875,0.6764705882352942,0.0416666666666666,0.875,0.6176470588235294,0.0833333333333333,0.95,0.5,0.0833333333333333,0.925,0.4411764705882353,0.0833333333333333
2023,0.9,0.7058823529411765,0.1666666666666666,0.775,0.2647058823529412,0.0833333333333333,0.8625,0.5,0.0833333333333333,0.8875,0.6470588235294118,0.0416666666666666,0.9,0.6176470588235294,0.1666666666666666,0.9375,0.5,0.2083333333333333,0.925,0.4411764705882353,0.1666666666666666
2024,0.9,0.6176470588235294,0.1666666666666666,0.775,0.2941176470588235,0.125,0.8875,0.5294117647058824,0.1666666666666666,0.9,0.6470588235294118,0.0416666666666666,0.8625,0.5588235294117647,0.1666666666666666,0.9375,0.4705882352941176,0.1666666666666666,0.9375,0.3823529411764705,0.1666666666666666
2025,0.925,0.7058823529411765,0.25,0.7875,0.3235294117647059,0.1666666666666666,0.8875,0.5,0.1666666666666666,0.875,0.6764705882352942,0.0416666666666666,0.8625,0.6176470588235294,0.1666666666666666,0.95,0.4705882352941176,0.1666666666666666,0.9375,0.4411764705882353,0.2083333333333333
2026,0.9,0.6764705882352942,0.2083333333333333,0.7625,0.3529411764705882,0.125,0.9125,0.5588235294117647,0.1666666666666666,0.8875,0.6764705882352942,0.0416666666666666,0.8625,0.7058823529411765,0.0833333333333333,0.95,0.4705882352941176,0.1666666666666666,0.9375,0.4411764705882353,0.125
2027,0.9,0.6764705882352942,0.2083333333333333,0.7875,0.3529411764705882,0.125,0.875,0.4705882352941176,0.2083333333333333,0.8875,0.6764705882352942,0.0416666666666666,0.875,0.6764705882352942,0.1666666666666666,0.9375,0.5588235294117647,0.1666666666666666,0.925,0.3823529411764705,0.1666666666666666
2028,0.9,0.6176470588235294,0.25,0.775,0.3823529411764705,0.2083333333333333,0.8875,0.5588235294117647,0.1666666666666666,0.9,0.6176470588235294,0.0416666666666666,0.8875,0.5882352941176471,0.1666666666666666,0.9375,0.4117647058823529,0.1666666666666666,0.925,0.4411764705882353,0.2083333333333333
2029,0.9125,0.6470588235294118,0.2083333333333333,0.7625,0.3529411764705882,0.0833333333333333,0.8625,0.4705882352941176,0.2083333333333333,0.875,0.6470588235294118,0.0416666666666666,0.85,0.6470588235294118,0.1666666666666666,0.95,0.5,0.1666666666666666,0.925,0.4411764705882353,0.125
2030,0.9125,0.7058823529411765,0.25,0.75,0.3235294117647059,0.2083333333333333,0.9,0.5294117647058824,0.1666666666666666,0.8875,0.6470588235294118,0.0416666666666666,0.875,0.6470588235294118,0.1666666666666666,0.9375,0.4117647058823529,0.1666666666666666,0.925,0.3529411764705882,0.1666666666666666
2031,0.9,0.6176470588235294,0.2083333333333333,0.7875,0.2647058823529412,0.125,0.8625,0.5,0.125,0.9,0.6470588235294118,0.0416666666666666,0.875,0.6764705882352942,0.1666666666666666,0.9375,0.5588235294117647,0.1666666666666666,0.925,0.3823529411764705,0.125
2032,0.925,0.7352941176470589,0.2083333333333333,0.7625,0.2941176470588235,0.1666666666666666,0.8875,0.5,0.1666666666666666,0.8875,0.6470588235294118,0.0416666666666666,0.8625,0.7058823529411765,0.1666666666666666,0.95,0.4705882352941176,0.2083333333333333,0.9375,0.3823529411764705,0.1666666666666666
2033,0.9,0.6470588235294118,0.2083333333333333,0.7875,0.3235294117647059,0.125,0.85,0.5294117647058824,0.1666666666666666,0.9,0.6470588235294118,0.0416666666666666,0.8625,0.5882352941176471,0.1666666666666666,0.9625,0.4411764705882353,0.2083333333333333,0.925,0.4411764705882353,0.1666666666666666
2034,0.925,0.6470588235294118,0.2083333333333333,0.775,0.3529411764705882,0.125,0.875,0.4705882352941176,0.1666666666666666,0.875,0.6176470588235294,0.0416666666666666,0.85,0.6176470588235294,0.0833333333333333,0.9375,0.5294117647058824,0.1666666666666666,0.925,0.3823529411764705,0.1666666666666666
2035,0.925,0.6470588235294118,0.1666666666666666,0.8125,0.3823529411764705,0.125,0.85,0.4705882352941176,0.1666666666666666,0.9,0.6470588235294118,0.0416666666666666,0.875,0.6176470588235294,0.1666666666666666,0.9375,0.4705882352941176,0.1666666666666666,0.9375,0.4117647058823529,0.1666666666666666
2036,0.925,0.6176470588235294,0.2083333333333333,0.7375,0.3529411764705882,0.125,0.85,0.4411764705882353,0.1666666666666666,0.875,0.6764705882352942,0.0416666666666666,0.875,0.6764705882352942,0.1666666666666666,0.9375,0.4117647058823529,0.1666666666666666,0.925,0.4411764705882353,0.1666666666666666
2037,0.9125,0.6470588235294118,0.1666666666666666,0.7625,0.3823529411764705,0.125,0.85,0.5,0.1666666666666666,0.875,0.6470588235294118,0.0416666666666666,0.875,0.7352941176470589,0.0833333333333333,0.95,0.5,0.1666666666666666,0.925,0.3823529411764705,0.2083333333333333
2038,0.9125,0.6470588235294118,0.1666666666666666,0.7875,0.3235294117647059,0.125,0.85,0.5,0.0833333333333333,0.875,0.6470588235294118,0.0416666666666666,0.8625,0.6470588235294118,0.1666666666666666,0.95,0.4705882352941176,0.1666666666666666,0.925,0.3823529411764705,0.1666666666666666
2039,0.9125,0.6176470588235294,0.2083333333333333,0.7625,0.3823529411764705,0.1666666666666666,0.85,0.5,0.1666666666666666,0.9125,0.6764705882352942,0.0416666666666666,0.8875,0.6470588235294118,0.1666666666666666,0.9375,0.4705882352941176,0.2083333333333333,0.925,0.3823529411764705,0.1666666666666666
2040,0.9,0.7352941176470589,0.2083333333333333,0.7875,0.3235294117647059,0.2083333333333333,0.85,0.4705882352941176,0.1666666666666666,0.9,0.6470588235294118,0.0416666666666666,0.8625,0.5882352941176471,0.1666666666666666,0.95,0.5,0.1666666666666666,0.95,0.3823529411764705,0.1666666666666666
2041,0.925,0.6764705882352942,0.2083333333333333,0.775,0.2647058823529412,0.125,0.875,0.4705882352941176,0.1666666666666666,0.8875,0.6470588235294118,0.0416666666666666,0.875,0.6470588235294118,0.1666666666666666,0.9375,0.4117647058823529,0.1666666666666666,0.9375,0.4411764705882353,0.1666666666666666
2042,0.9125,0.6470588235294118,0.2083333333333333,0.7625,0.3235294117647059,0.125,0.8625,0.6176470588235294,0.1666666666666666,0.875,0.6764705882352942,0.0416666666666666,0.875,0.5882352941176471,0.1666666666666666,0.9375,0.4411764705882353,0.1666666666666666,0.9375,0.4117647058823529,0.25
2043,0.9125,0.6176470588235294,0.2083333333333333,0.75,0.3235294117647059,0.125,0.8625,0.5,0.0833333333333333,0.875,0.6764705882352942,0.0416666666666666,0.85,0.5588235294117647,0.1666666666666666,0.9375,0.5,0.1666666666666666,0.9375,0.4411764705882353,0.1666666666666666
2044,0.9375,0.7058823529411765,0.2083333333333333,0.7625,0.2941176470588235,0.125,0.85,0.5294117647058824,0.1666666666666666,0.9,0.6176470588235294,0.0416666666666666,0.8625,0.6470588235294118,0.1666666666666666,0.9375,0.4411764705882353,0.1666666666666666,0.9375,0.3823529411764705,0.2083333333333333
2045,0.9375,0.7352941176470589,0.2083333333333333,0.7625,0.3235294117647059,0.1666666666666666,0.85,0.5,0.1666666666666666,0.8875,0.6764705882352942,0.0416666666666666,0.85,0.6470588235294118,0.1666666666666666,0.9375,0.5294117647058824,0.1666666666666666,0.9375,0.3823529411764705,0.2083333333333333
2046,0.9125,0.6764705882352942,0.25,0.7875,0.4117647058823529,0.0833333333333333,0.85,0.5588235294117647,0.1666666666666666,0.9,0.6470588235294118,0.0416666666666666,0.8625,0.6176470588235294,0.1666666666666666,0.9375,0.4705882352941176,0.1666666666666666,0.925,0.3823529411764705,0.1666666666666666
2047,0.9,0.6764705882352942,0.2083333333333333,0.775,0.3823529411764705,0.2083333333333333,0.85,0.5,0.125,0.875,0.6470588235294118,0.0416666666666666,0.8875,0.6470588235294118,0.1666666666666666,0.9375,0.5,0.1666666666666666,0.925,0.3823529411764705,0.1666666666666666
